Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
stoudda01,41:00,9,22,.409,2,4,.500,3,3,1.000,1,1,2,5,0,0,2,1,23
roberal01,35:00,5,10,.500,0,4,.000,1,1,1.000,4,2,6,4,1,0,4,5,11
murratr01,32:00,4,15,.267,2,6,.333,1,2,.500,2,7,9,0,2,0,1,0,11
milleol01,27:00,3,11,.273,0,0,,1,1,1.000,3,4,7,2,0,2,3,2,7
masseto01,25:00,3,13,.231,0,0,,1,2,.500,4,7,11,2,0,0,1,4,7
anderwi01,22:00,2,8,.250,0,1,.000,2,2,1.000,1,1,2,3,0,0,0,3,6
tabakza01,21:00,2,9,.222,0,0,,0,0,,4,6,10,0,0,1,2,2,4
rogerca01,16:00,0,1,.000,0,0,,0,0,,1,1,2,1,1,1,1,0,0
pincked01,15:00,4,6,.667,0,0,,3,4,.750,1,0,1,0,1,0,1,0,11
kingji02,6:00,1,3,.333,0,2,.000,0,0,,0,0,0,1,1,0,2,0,2
Team Totals,240,33,98,.337,4,17,.235,12,15,.800,21,29,50,18,6,4,17,17,82
Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
abdulma02,40:00,8,17,.471,3,7,.429,2,2,1.000,0,5,5,9,2,0,1,2,21
mutomdi01,36:00,3,5,.600,0,0,,5,7,.714,2,8,10,1,0,9,2,3,11
ellisda01,34:00,4,14,.286,0,3,.000,0,0,,0,4,4,1,0,1,0,1,8
mcdyean01,32:00,5,12,.417,0,0,,1,2,.500,1,5,6,1,1,3,2,1,11
stithbr01,28:00,3,6,.500,0,1,.000,7,10,.700,0,4,4,3,4,0,1,3,13
ellisla01,26:00,5,9,.556,0,0,,1,2,.500,5,6,11,3,2,1,2,2,11
roseja01,21:00,3,6,.500,0,0,,2,4,.500,0,1,1,6,0,0,2,4,8
willire01,18:00,4,7,.571,0,1,.000,0,0,,0,2,2,3,1,2,3,0,8
overtdo01,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
hammoto01,2:00,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,0,2
Team Totals,240,36,78,.462,3,12,.250,18,27,.667,9,36,45,27,10,16,14,16,93
