Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
sprewla01,40:00,6,15,.400,0,2,.000,4,5,.800,0,3,3,3,1,0,3,5,16
smithjo02,38:00,6,10,.600,0,0,,3,4,.750,5,6,11,1,2,0,0,2,15
armstbj01,35:00,9,17,.529,1,3,.333,2,4,.500,1,2,3,4,0,0,1,3,21
seikaro01,32:00,4,10,.400,0,0,,1,2,.500,2,1,3,2,2,1,1,6,9
kerseje01,20:00,5,11,.455,0,0,,0,0,,4,0,4,2,2,0,1,2,10
mullich01,30:00,5,12,.417,1,2,.500,0,0,,1,2,3,1,2,0,3,0,11
colesbi01,16:00,0,2,.000,0,1,.000,1,2,.500,0,0,0,3,0,0,0,2,1
willike02,16:00,0,3,.000,0,0,,0,0,,1,4,5,0,0,0,4,4,0
roziecl01,6:00,0,0,,0,0,,2,2,1.000,0,3,3,0,1,0,0,2,2
barryjo01,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
declean01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,35,80,.438,2,8,.250,13,19,.684,14,21,35,16,10,1,13,27,85
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
millere01,37:00,4,12,.333,0,4,.000,4,4,1.000,1,5,6,7,2,0,2,2,12
jacksma01,36:00,5,8,.625,3,4,.750,5,6,.833,1,3,4,6,1,0,3,1,18
davisan01,36:00,4,13,.308,0,0,,9,10,.900,5,6,11,0,2,1,0,2,17
mckeyde01,32:00,6,10,.600,0,1,.000,1,2,.500,2,4,6,2,1,0,3,0,13
smitsri01,29:00,5,10,.500,0,0,,3,6,.500,2,7,9,1,0,0,4,4,13
piercri01,22:00,8,12,.667,0,0,,1,2,.500,2,1,3,2,0,0,0,4,17
workmha01,17:00,0,3,.000,0,1,.000,2,2,1.000,1,2,3,2,2,0,3,0,2
schindw01,14:00,0,4,.000,0,0,,0,0,,1,2,3,1,0,1,0,2,0
caldwad01,9:00,0,2,.000,0,0,,0,0,,2,0,2,1,1,0,1,1,0
johnsed03,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2
besttr01,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,33,77,.429,3,10,.300,25,32,.781,17,30,47,22,9,2,17,17,94
