Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
murratr01,48:00,7,19,.368,2,9,.222,5,6,.833,3,6,9,0,1,1,2,3,21
stoudda01,46:00,8,18,.444,4,9,.444,3,5,.600,1,4,5,12,1,0,4,3,23
milleol01,46:00,8,14,.571,0,0,,0,0,,1,4,5,3,1,0,3,4,16
chrisdo01,37:00,7,13,.538,0,1,.000,0,0,,2,1,3,3,5,2,1,5,14
tabakza01,25:00,5,8,.625,0,0,,0,0,,1,4,5,0,0,2,2,3,10
earlac01,25:00,4,10,.400,0,0,,2,2,1.000,2,1,3,4,1,1,0,2,10
kingji02,13:00,1,2,.500,0,0,,0,0,,0,0,0,1,1,0,0,1,2
Team Totals,240,40,84,.476,6,19,.316,10,13,.769,10,20,30,23,10,6,12,21,96
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
jacksma01,40:00,6,11,.545,1,4,.250,3,4,.750,0,2,2,12,1,0,2,3,16
millere01,39:00,9,19,.474,2,5,.400,7,8,.875,1,3,4,4,0,0,4,2,27
smitsri01,34:00,9,15,.600,0,0,,3,3,1.000,3,9,12,1,0,1,3,3,21
davisda01,32:00,5,6,.833,0,0,,1,9,.111,3,7,10,1,1,4,0,1,11
besttr01,27:00,3,6,.500,1,1,1.000,2,2,1.000,0,0,0,7,3,0,2,3,9
davisan01,30:00,6,9,.667,0,0,,1,1,1.000,6,5,11,0,0,1,1,2,13
workmha01,20:00,0,3,.000,0,1,.000,2,2,1.000,0,2,2,4,1,0,0,3,2
piercri01,18:00,3,10,.300,0,2,.000,0,0,,1,0,1,2,1,0,3,3,6
Team Totals,240,41,79,.519,4,13,.308,19,29,.655,14,28,42,31,7,6,15,20,105
