Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
richmmi01,37:00,3,11,.273,2,7,.286,5,5,1.000,0,4,4,1,1,0,5,2,13
edneyty01,36:00,6,14,.429,2,3,.667,1,1,1.000,0,2,2,9,1,1,1,4,15
grantbr01,34:00,11,15,.733,0,1,.000,8,8,1.000,0,5,5,3,2,0,3,3,30
polynol01,33:00,7,11,.636,0,0,,6,9,.667,2,8,10,1,0,0,0,3,20
causwdu01,13:00,2,6,.333,0,0,,1,2,.500,5,2,7,0,0,0,1,3,5
smithmi02,27:00,3,5,.600,0,0,,0,4,.000,3,4,7,2,1,1,1,3,6
simmoli01,26:00,5,8,.625,2,3,.667,1,2,.500,1,3,4,2,2,0,2,3,13
hurlebo01,14:00,2,4,.500,0,2,.000,2,2,1.000,0,0,0,4,0,0,0,1,6
mcdancl01,11:00,0,0,,0,0,,8,8,1.000,0,1,1,1,2,0,0,0,8
willico02,9:00,2,5,.400,0,0,,2,2,1.000,2,0,2,0,0,0,1,3,6
Team Totals,240,41,79,.519,6,16,.375,34,43,.791,13,29,42,23,9,2,14,25,122
Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robingl01,42:00,4,13,.308,0,2,.000,5,7,.714,2,4,6,6,1,0,1,4,13
bakervi01,40:00,7,14,.500,0,0,,1,2,.500,1,8,9,2,0,0,4,4,15
newmajo01,33:00,6,12,.500,1,3,.333,6,6,1.000,0,0,0,2,1,0,3,4,19
douglsh01,27:00,1,4,.250,0,0,,3,4,.750,0,1,1,1,0,0,2,1,5
benjabe01,20:00,2,5,.400,0,0,,0,0,,2,6,8,0,2,4,2,3,4
cummite01,21:00,7,11,.636,0,1,.000,0,0,,3,2,5,0,0,0,2,4,14
maybele01,21:00,3,4,.750,1,2,.500,0,1,.000,0,2,2,6,1,0,0,1,7
respesh01,15:00,4,9,.444,1,5,.200,2,2,1.000,0,1,1,1,0,0,2,1,11
conloma01,13:00,1,2,.500,0,0,,2,4,.500,0,1,1,1,0,0,3,4,4
keysra01,6:00,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,1,2
peplomi01,2:00,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,1,4,3
Team Totals,240,37,77,.481,3,13,.231,20,28,.714,8,26,34,20,5,4,20,31,97
