Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
paytoga01,44:00,7,13,.538,2,7,.286,7,7,1.000,0,0,0,11,1,0,4,3,23
schrede01,37:00,7,10,.700,1,2,.500,8,8,1.000,3,4,7,3,3,0,3,1,23
hawkihe01,37:00,5,14,.357,2,3,.667,2,2,1.000,1,4,5,4,0,1,1,4,14
johnser02,35:00,2,6,.333,0,1,.000,3,4,.750,2,2,4,1,0,1,2,3,7
kempsh01,25:00,5,8,.625,0,0,,6,6,1.000,1,5,6,2,1,1,1,6,16
perkisa01,30:00,7,18,.389,2,6,.333,4,4,1.000,4,2,6,1,1,0,1,2,20
mcmilna01,17:00,3,4,.750,1,1,1.000,0,0,,1,4,5,2,1,0,2,2,7
wingada01,7:00,2,3,.667,0,1,.000,0,0,,1,0,1,0,0,0,1,0,4
schefst01,7:00,0,1,.000,0,0,,0,0,,2,1,3,1,2,0,0,1,0
snower01,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,38,77,.494,8,21,.381,30,31,.968,15,23,38,25,9,3,15,22,114
Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
sprewla01,41:00,9,17,.529,2,5,.400,10,10,1.000,1,0,1,5,3,0,5,0,30
willike02,39:00,9,14,.643,0,0,,1,2,.500,4,6,10,2,0,0,4,5,19
armstbj01,38:00,4,13,.308,2,8,.250,2,2,1.000,0,2,2,13,0,0,2,2,12
smithjo02,36:00,5,13,.385,0,1,.000,6,6,1.000,1,4,5,0,0,5,0,2,16
kerseje01,30:00,4,7,.571,0,0,,4,4,1.000,2,2,4,1,1,0,1,4,12
colesbi01,18:00,1,4,.250,0,2,.000,0,0,,0,1,1,4,0,0,1,6,2
marshdo01,17:00,2,4,.500,1,2,.500,2,2,1.000,1,2,3,0,0,0,2,3,7
roziecl01,17:00,2,2,1.000,0,0,,0,2,.000,2,3,5,0,2,0,0,3,4
declean01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
hammige01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
churcro01,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
barryjo01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,36,75,.480,5,18,.278,25,28,.893,11,20,31,25,6,5,15,25,102
