Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
chapmre01,34:00,6,12,.500,2,4,.500,4,4,1.000,0,2,2,0,0,0,4,3,18
kiddja01,34:00,0,7,.000,0,6,.000,2,4,.500,1,4,5,8,3,0,2,1,2
johnske02,31:00,1,12,.083,0,4,.000,4,4,1.000,1,2,3,2,1,0,3,4,6
williho01,15:00,0,2,.000,0,0,,1,4,.250,4,0,4,0,0,1,0,2,1
tisdawa01,11:00,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,1,2,2
cebalce01,30:00,3,10,.300,1,3,.333,4,4,1.000,2,5,7,1,2,1,5,1,11
persowe01,25:00,4,11,.364,2,6,.333,1,2,.500,0,10,10,1,0,0,1,1,11
mannida01,15:00,3,6,.500,0,0,,8,8,1.000,3,2,5,1,0,1,1,5,14
brownmi01,13:00,2,4,.500,0,0,,5,6,.833,1,1,2,1,0,0,0,2,9
bryanma01,12:00,1,4,.250,0,0,,2,2,1.000,1,1,2,0,0,0,0,2,4
meyerlo01,11:00,0,4,.000,0,1,.000,0,0,,2,3,5,1,0,1,3,0,0
nashst01,9:00,0,4,.000,0,0,,0,0,,1,0,1,1,1,1,2,4,0
Team Totals,240,21,78,.269,5,24,.208,31,38,.816,16,33,49,16,7,5,22,27,78
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
paytoga01,36:00,10,24,.417,1,5,.200,2,3,.667,1,1,2,6,1,0,2,2,23
hawkihe01,33:00,6,8,.750,3,5,.600,4,4,1.000,4,3,7,1,1,0,2,3,19
kempsh01,32:00,8,12,.667,1,1,1.000,6,9,.667,3,12,15,5,1,3,3,6,23
schrede01,30:00,6,11,.545,1,2,.500,0,0,,2,3,5,2,2,0,0,3,13
cummite01,21:00,3,7,.429,0,0,,2,2,1.000,1,4,5,1,1,1,1,1,8
perkisa01,19:00,0,6,.000,0,4,.000,2,2,1.000,0,4,4,2,1,1,1,2,2
wingada01,18:00,3,7,.429,1,4,.250,1,2,.500,1,3,4,2,2,1,1,4,8
grahagr01,16:00,2,7,.286,1,3,.333,2,2,1.000,0,3,3,1,1,0,0,2,7
mcmilna01,15:00,0,2,.000,0,2,.000,0,0,,1,2,3,2,0,0,1,5,0
stewala01,8:00,2,3,.667,0,1,.000,2,2,1.000,0,1,1,2,2,1,1,2,6
mcilvji01,6:00,3,3,1.000,0,0,,1,2,.500,1,0,1,0,1,2,0,0,7
snower01,6:00,2,2,1.000,1,1,1.000,1,2,.500,0,0,0,0,1,0,0,0,6
Team Totals,240,45,92,.489,9,28,.321,23,30,.767,14,36,50,24,14,9,12,30,122
