Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
paytoga01,46:00,9,22,.409,4,7,.571,5,6,.833,2,6,8,7,3,0,2,3,27
kempsh01,42:00,7,16,.438,0,2,.000,7,8,.875,5,5,10,3,2,1,8,4,21
hawkihe01,41:00,4,10,.400,0,2,.000,4,5,.800,2,3,5,2,1,0,1,4,12
schrede01,37:00,4,10,.400,2,3,.667,5,8,.625,2,6,8,4,0,0,2,5,15
perkisa01,27:00,2,8,.250,0,1,.000,0,0,,1,2,3,1,1,0,0,4,4
cummite01,23:00,2,6,.333,0,0,,1,2,.500,1,5,6,0,0,0,2,1,5
wingada01,18:00,3,7,.429,1,2,.500,0,0,,2,2,4,2,0,0,0,2,7
grahagr01,4:00,0,1,.000,0,0,,0,0,,0,0,0,2,1,0,0,0,0
snower01,2:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,31,81,.383,7,18,.389,22,29,.759,15,29,44,21,8,1,15,23,91
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
barklch01,44:00,7,13,.538,0,1,.000,6,6,1.000,5,9,14,1,1,0,4,3,20
drexlcl01,42:00,9,19,.474,2,8,.250,4,7,.571,3,5,8,8,2,0,5,4,24
olajuha01,40:00,11,19,.579,0,0,,0,3,.000,4,9,13,1,4,0,1,5,22
eliema01,38:00,2,5,.400,1,4,.250,4,4,1.000,0,0,0,11,0,0,2,5,9
malonma01,37:00,5,11,.455,3,8,.375,2,4,.500,0,3,3,2,1,0,3,2,15
threase01,20:00,0,2,.000,0,1,.000,0,0,,0,1,1,1,2,0,2,0,0
willike02,12:00,1,4,.250,0,0,,0,0,,0,2,2,0,0,0,0,2,2
johnsed03,7:00,2,6,.333,0,2,.000,0,0,,1,1,2,0,0,0,0,3,4
Team Totals,240,37,79,.468,6,24,.250,16,24,.667,13,30,43,24,10,0,17,24,96
