New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ewingpa01,35:00,8,16,.500,0,0,,5,8,.625,6,10,16,2,2,0,3,0,21
oaklech01,33:00,6,8,.750,0,0,,0,0,,3,4,7,3,1,0,4,5,12
johnsla02,29:00,6,10,.600,0,0,,0,0,,1,3,4,4,1,0,0,2,12
wardch01,20:00,5,9,.556,3,4,.750,0,0,,0,4,4,4,0,2,2,1,13
houstal01,19:00,3,8,.375,2,3,.667,1,2,.500,0,0,0,1,0,0,1,5,9
starkjo01,32:00,3,11,.273,0,4,.000,2,2,1.000,1,4,5,4,0,0,3,3,8
wallajo01,23:00,3,5,.600,0,0,,1,2,.500,2,6,8,4,1,0,3,4,7
brooksc01,22:00,3,5,.600,1,2,.500,0,0,,0,0,0,3,1,0,0,1,7
willibu01,21:00,2,5,.400,0,0,,0,0,,1,2,3,2,2,3,1,0,4
mccarwa01,3:00,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5
jentch01,3:00,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,3
Team Totals,240,42,82,.512,8,15,.533,9,14,.643,14,33,47,27,8,5,17,24,101
Vancouver Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
peelean01,35:00,6,16,.375,2,4,.500,2,3,.667,1,3,4,3,1,0,1,2,16
reevebr01,35:00,2,5,.400,0,0,,4,4,1.000,3,5,8,3,0,1,5,5,8
edwarbl01,30:00,2,8,.250,0,1,.000,4,5,.800,2,3,5,1,0,1,2,3,8
anthogr01,27:00,4,12,.333,2,6,.333,2,3,.667,0,2,2,7,6,0,1,4,12
rogerro02,25:00,2,10,.200,0,0,,0,0,,2,2,4,0,0,4,0,1,4
abdursh01,25:00,3,5,.600,0,1,.000,5,5,1.000,1,2,3,1,0,0,1,0,11
maybele01,21:00,0,4,.000,0,2,.000,2,2,1.000,1,3,4,2,2,0,4,1,2
lynchge01,16:00,2,7,.286,0,1,.000,1,2,.500,2,1,3,4,3,0,0,1,5
motenla01,13:00,4,6,.667,2,2,1.000,2,3,.667,0,0,0,1,0,0,3,0,12
mobleer01,11:00,2,3,.667,0,0,,0,1,.000,1,1,2,0,0,1,0,1,4
manniri01,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,27,76,.355,6,17,.353,22,28,.786,13,23,36,22,12,7,17,18,82
