Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
barklch01,50:00,5,16,.313,1,4,.250,16,20,.800,6,11,17,12,3,1,2,4,27
drexlcl01,41:00,11,23,.478,4,8,.500,6,8,.750,5,6,11,4,3,0,2,5,32
eliema01,38:00,7,9,.778,1,3,.333,6,7,.857,1,3,4,4,2,0,2,3,21
willike02,37:00,6,13,.462,0,1,.000,2,4,.500,2,4,6,1,1,0,3,3,14
malonma01,28:00,2,7,.286,1,4,.250,1,2,.500,0,2,2,3,1,0,0,3,6
davisem01,25:00,3,4,.750,1,2,.500,0,0,,0,2,2,1,2,1,1,1,7
harriot01,18:00,3,6,.500,0,0,,0,2,.000,2,0,2,1,2,0,1,3,6
bullama01,12:00,1,5,.200,1,3,.333,2,2,1.000,2,0,2,1,0,0,1,0,5
macksa01,11:00,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,3,0
mooretr01,5:00,0,4,.000,0,3,.000,2,2,1.000,0,0,0,0,0,0,0,0,2
Team Totals,265,38,89,.427,9,30,.300,35,47,.745,18,28,46,27,14,2,13,25,120
Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
sprewla01,53:00,10,19,.526,2,5,.400,6,6,1.000,0,4,4,11,2,1,6,1,28
smithjo02,50:00,4,14,.286,0,0,,1,2,.500,0,7,7,6,0,1,3,5,9
mullich01,47:00,11,14,.786,3,4,.750,2,3,.667,0,5,5,5,0,0,1,5,27
pricema01,36:00,11,14,.786,5,6,.833,5,6,.833,1,0,1,5,2,0,5,4,32
spencfe01,23:00,2,4,.500,0,0,,1,1,1.000,0,6,6,1,0,1,1,5,5
armstbj01,17:00,2,2,1.000,1,1,1.000,0,0,,0,3,3,3,2,0,1,2,5
royaldo01,14:00,1,3,.333,0,0,,0,0,,1,3,4,0,0,1,0,1,2
declean01,13:00,1,2,.500,0,0,,0,0,,0,2,2,1,0,1,2,3,2
fulleto02,9:00,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,0,1,2,3
marshdo01,3:00,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,3,2
Team Totals,265,44,75,.587,11,17,.647,16,20,.800,2,32,34,32,6,5,20,31,115
