Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
vaughlo01,36:00,5,16,.313,0,0,,4,6,.667,4,6,10,1,0,0,1,4,14
rogerro01,35:00,9,14,.643,1,3,.333,1,2,.500,1,6,7,4,2,3,5,3,20
wrighlo02,28:00,5,9,.556,0,0,,1,2,.500,3,0,3,0,0,2,1,4,11
martida01,21:00,2,6,.333,0,2,.000,2,2,1.000,0,1,1,6,3,0,0,2,6
sealyma01,12:00,0,5,.000,0,2,.000,0,0,,0,0,0,1,2,0,2,1,0
murrala01,25:00,4,8,.500,1,2,.500,3,3,1.000,2,2,4,1,2,1,2,2,12
deherte01,23:00,1,4,.250,1,2,.500,4,4,1.000,1,2,3,3,0,0,1,0,7
barrybr01,19:00,2,4,.500,0,1,.000,1,1,1.000,1,1,2,1,1,0,4,1,5
outlabo01,19:00,1,2,.500,0,0,,0,2,.000,0,0,0,0,1,1,1,1,2
piatker01,17:00,5,9,.556,1,2,.500,0,0,,3,2,5,3,2,0,1,2,11
richapo01,5:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,34,78,.436,4,14,.286,16,22,.727,15,21,36,20,13,7,18,20,88
Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
polynol01,39:00,5,11,.455,0,0,,4,4,1.000,5,9,14,4,0,1,0,5,14
smithmi02,38:00,4,7,.571,0,0,,4,7,.571,5,7,12,0,0,1,0,2,12
owensbi01,35:00,4,6,.667,1,1,1.000,3,4,.750,3,3,6,4,3,0,3,2,12
richmmi01,30:00,7,12,.583,1,3,.333,8,11,.727,0,1,1,2,2,0,9,1,23
edneyty01,20:00,2,7,.286,0,0,,2,2,1.000,0,1,1,3,2,0,1,2,6
abdulma02,27:00,10,21,.476,0,5,.000,0,0,,0,1,1,4,1,0,3,2,20
gamblke01,26:00,2,4,.500,1,2,.500,0,0,,2,1,3,5,1,0,0,1,5
willico02,23:00,4,9,.444,0,0,,0,0,,2,3,5,1,2,2,2,3,8
hurlebo01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
salvake01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,38,77,.494,3,11,.273,21,28,.750,17,26,43,23,11,4,18,18,100
