Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
richmmi01,43:00,7,19,.368,3,9,.333,9,9,1.000,0,0,0,4,0,0,2,4,26
smithmi02,40:00,4,5,.800,0,0,,1,4,.250,1,13,14,4,0,1,2,2,9
polynol01,38:00,7,16,.438,0,0,,1,2,.500,5,12,17,2,0,4,1,2,15
abdulma02,22:00,2,8,.250,0,0,,1,1,1.000,1,0,1,1,0,0,0,0,5
willico02,21:00,2,4,.500,0,0,,0,0,,0,1,1,3,0,0,2,3,4
grayeje01,30:00,6,9,.667,3,3,1.000,1,1,1.000,2,1,3,1,1,1,1,2,16
edneyty01,26:00,1,6,.167,0,1,.000,5,6,.833,1,0,1,4,0,0,3,3,7
gamblke01,20:00,1,6,.167,1,2,.500,0,0,,1,7,8,3,1,0,1,2,3
Team Totals,240,30,73,.411,7,15,.467,18,23,.783,11,34,45,22,2,6,12,18,85
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
johnsav01,39:00,3,7,.429,0,1,.000,0,0,,1,1,2,10,2,1,1,1,6
herreca01,37:00,6,13,.462,0,0,,0,1,.000,5,2,7,0,3,1,1,3,12
andergr01,36:00,2,6,.333,0,0,,0,0,,3,9,12,1,0,1,2,1,4
elliose01,33:00,4,12,.333,0,3,.000,1,1,1.000,1,4,5,2,0,2,0,4,9
maxweve01,25:00,5,14,.357,1,6,.167,4,4,1.000,0,1,1,3,0,0,0,3,15
wilkido01,23:00,5,14,.357,0,1,.000,3,4,.750,3,5,8,1,0,0,1,2,13
delnevi01,23:00,5,12,.417,0,1,.000,1,1,1.000,0,3,3,4,0,0,1,4,11
willimo01,15:00,4,6,.667,0,0,,1,1,1.000,0,2,2,0,1,1,2,1,9
alexaco01,9:00,0,0,,0,0,,0,0,,0,0,0,3,1,0,1,2,0
Team Totals,240,34,84,.405,1,12,.083,10,12,.833,13,27,40,24,7,6,9,21,79
