Charlotte Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ricegl01,46:00,9,17,.529,1,2,.500,13,13,1.000,0,3,3,1,3,0,2,1,32
masonan01,39:00,7,13,.538,1,1,1.000,3,3,1.000,0,7,7,7,1,0,1,5,18
divacvl01,39:00,6,11,.545,0,0,,1,2,.500,3,4,7,5,3,2,4,1,13
boguemu01,27:00,5,9,.556,3,5,.600,0,0,,0,1,1,6,0,0,3,1,13
smithto02,23:00,1,6,.167,0,2,.000,0,0,,1,2,3,1,0,0,2,4,2
curryde01,35:00,9,16,.563,2,7,.286,0,0,,0,3,3,1,0,0,1,4,20
rosema01,13:00,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,1,4,0
delkto01,11:00,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,1,0,2
zidekge01,5:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
addisra01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,38,77,.494,7,17,.412,17,18,.944,6,22,28,22,8,2,15,20,100
Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
jordami01,42:00,16,24,.667,1,2,.500,10,14,.714,0,5,5,4,3,0,5,2,43
rodmade01,37:00,1,3,.333,0,0,,1,1,1.000,5,9,14,5,0,0,2,5,3
pippesc01,34:00,2,13,.154,1,3,.333,0,0,,5,5,10,7,2,0,2,5,5
longllu01,26:00,5,8,.625,0,0,,2,2,1.000,0,3,3,4,0,2,1,3,12
harpero01,23:00,4,8,.500,2,3,.667,0,0,,2,0,2,2,3,0,0,1,10
kerrst01,29:00,4,8,.500,1,4,.250,0,0,,1,1,2,2,1,0,0,0,9
kukocto01,23:00,5,10,.500,0,3,.000,0,0,,0,3,3,0,0,0,1,0,10
caffeja01,11:00,1,3,.333,0,0,,1,2,.500,1,1,2,0,0,0,2,4,3
parisro01,8:00,1,2,.500,0,0,,2,2,1.000,1,0,1,0,0,0,1,0,4
wennibi01,7:00,2,3,.667,0,0,,0,0,,1,0,1,2,0,0,0,1,4
Team Totals,240,41,82,.500,5,15,.333,16,21,.762,16,27,43,26,9,2,14,21,103
