Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
richmmi01,43:00,11,19,.579,7,7,1.000,9,11,.818,0,4,4,3,2,0,5,3,38
owensbi01,41:00,8,15,.533,0,0,,4,8,.500,1,6,7,5,0,0,6,3,20
polynol01,40:00,5,6,.833,0,0,,6,10,.600,5,9,14,8,1,1,3,5,16
smithmi02,31:00,1,4,.250,0,0,,1,4,.250,2,8,10,4,1,2,0,6,3
abdulma02,25:00,5,11,.455,1,2,.500,3,4,.750,0,2,2,1,0,0,0,0,14
edneyty01,21:00,2,4,.500,0,0,,7,8,.875,0,1,1,1,2,0,1,0,11
gamblke01,20:00,1,3,.333,1,2,.500,0,0,,0,1,1,1,1,1,0,3,3
willico02,11:00,2,4,.500,0,0,,0,0,,0,0,0,0,0,0,2,3,4
grayeje01,8:00,1,3,.333,0,0,,0,0,,3,0,3,1,0,0,1,3,2
Team Totals,240,36,69,.522,9,11,.818,30,45,.667,11,31,42,24,7,4,18,26,111
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
walkean02,46:00,8,23,.348,1,4,.250,7,10,.700,2,7,9,3,2,0,1,5,24
wesleda01,46:00,10,17,.588,3,7,.429,0,1,.000,1,0,1,5,1,0,0,5,23
willier01,45:00,6,14,.429,0,0,,8,12,.667,2,2,4,4,0,0,2,4,20
foxri01,40:00,8,11,.727,3,4,.750,6,6,1.000,1,5,6,7,2,0,4,6,25
szabobr01,10:00,0,1,.000,0,0,,0,0,,1,1,2,0,2,0,0,4,0
conloma01,21:00,3,8,.375,0,0,,1,2,.500,2,5,7,2,1,0,0,3,7
dayto01,18:00,2,6,.333,0,3,.000,0,0,,3,0,3,0,0,1,3,2,4
listeal01,12:00,1,1,1.000,0,0,,0,0,,1,2,3,1,0,1,1,2,2
hamerst01,2:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,38,82,.463,7,19,.368,22,31,.710,13,23,36,22,8,2,11,31,105
