Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
chrisdo01,46:00,7,10,.700,2,4,.500,1,1,1.000,0,2,2,2,1,0,3,0,17
stoudda01,40:00,10,15,.667,4,7,.571,7,10,.700,1,4,5,6,1,1,5,2,31
cambyma01,40:00,8,15,.533,0,0,,7,9,.778,1,5,6,1,1,4,5,1,23
williwa02,37:00,3,8,.375,2,6,.333,5,6,.833,1,5,6,2,2,0,4,5,13
roziecl01,11:00,1,2,.500,0,0,,0,1,.000,1,2,3,0,0,0,0,0,2
jonespo01,30:00,1,3,.333,0,0,,1,2,.500,2,3,5,1,1,0,0,2,3
wrighsh01,21:00,5,7,.714,0,0,,1,2,.500,1,4,5,1,0,1,1,3,11
respesh01,8:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,1,0,1,0,3
milleol01,7:00,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,0,0,0
Team Totals,240,36,63,.571,9,18,.500,22,31,.710,7,27,34,16,7,7,19,13,103
Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
polynol01,40:00,7,14,.500,0,0,,0,0,,1,7,8,2,0,1,3,5,14
smithmi02,40:00,2,5,.400,0,0,,1,2,.500,3,5,8,2,2,0,2,3,5
owensbi01,38:00,6,13,.462,1,3,.333,0,0,,2,4,6,7,1,0,1,3,13
richmmi01,36:00,8,16,.500,5,9,.556,5,5,1.000,1,1,2,5,0,0,1,0,26
abdulma02,31:00,6,12,.500,3,5,.600,2,2,1.000,0,2,2,4,1,0,3,6,17
edneyty01,17:00,5,6,.833,0,1,.000,0,0,,0,1,1,4,1,0,2,1,10
grantbr01,16:00,2,7,.286,0,0,,2,2,1.000,2,1,3,0,2,0,1,2,6
willico02,9:00,1,2,.500,0,0,,1,1,1.000,1,0,1,1,0,0,1,3,3
gamblke01,7:00,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0
simmoli01,6:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2
Team Totals,240,37,78,.474,9,19,.474,13,14,.929,10,22,32,25,7,1,14,24,96
