Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
bakervi01,40:00,8,13,.615,0,0,,9,10,.900,1,3,4,2,0,2,4,6,25
robingl01,37:00,11,18,.611,2,2,1.000,4,6,.667,1,0,1,5,3,1,3,6,28
douglsh01,35:00,3,9,.333,0,0,,1,2,.500,3,1,4,9,1,0,1,2,7
allenra02,34:00,7,14,.500,2,5,.400,5,6,.833,0,3,3,1,0,0,2,4,21
gilliar01,30:00,8,13,.615,0,0,,0,0,,2,5,7,1,0,0,0,2,16
newmajo01,22:00,2,5,.400,0,1,.000,4,9,.444,1,3,4,1,1,0,1,3,8
brownch01,21:00,1,1,1.000,0,0,,3,4,.750,1,5,6,3,0,0,1,5,5
perryel01,13:00,1,3,.333,0,2,.000,2,2,1.000,0,3,3,1,0,0,2,0,4
wolfjo01,5:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0
woodda01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
carruji01,1:00,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3
Team Totals,240,42,77,.545,4,10,.400,29,40,.725,9,23,32,24,5,3,14,30,117
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
walkean02,38:00,7,20,.350,1,3,.333,9,12,.750,4,3,7,4,1,0,4,4,24
wesleda01,36:00,3,10,.300,2,5,.400,7,8,.875,0,3,3,8,1,0,4,1,15
foxri01,33:00,8,13,.615,3,6,.500,2,2,1.000,2,2,4,3,2,0,2,5,21
willier01,28:00,6,10,.600,0,0,,13,14,.929,0,2,2,4,2,1,1,2,25
szabobr01,20:00,4,4,1.000,0,0,,2,2,1.000,2,3,5,0,0,2,1,3,10
conloma01,31:00,5,7,.714,0,0,,2,2,1.000,1,1,2,2,0,0,0,4,12
dayto01,27:00,7,11,.636,0,3,.000,3,3,1.000,2,4,6,0,2,2,0,2,17
listeal01,12:00,1,1,1.000,0,0,,0,0,,2,3,5,1,0,0,1,4,2
brownde01,6:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,1,0
kingst01,5:00,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0
hawkimi01,4:00,0,0,,0,0,,0,0,,0,2,2,1,2,0,0,1,0
Team Totals,240,41,78,.526,6,17,.353,38,43,.884,13,26,39,25,10,5,14,27,126
