San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
alexaco01,41:00,5,18,.278,2,10,.200,4,4,1.000,0,2,2,10,3,0,7,4,16
delnevi01,33:00,8,14,.571,1,1,1.000,0,0,,0,3,3,0,1,0,2,1,17
herreca01,28:00,6,9,.667,0,0,,0,0,,3,2,5,0,1,0,2,3,12
willimo01,23:00,8,14,.571,0,0,,1,2,.500,1,1,2,2,1,1,1,2,17
andergr01,21:00,1,3,.333,0,0,,0,0,,4,5,9,1,1,1,1,4,2
perduwi01,27:00,4,4,1.000,0,0,,0,0,,3,9,12,0,0,0,1,4,8
wilkido01,24:00,3,9,.333,2,5,.400,1,2,.500,1,1,2,3,0,0,1,1,9
maxweve01,23:00,1,8,.125,0,3,.000,4,4,1.000,0,0,0,2,0,0,3,4,6
smithch01,13:00,0,1,.000,0,0,,4,4,1.000,1,1,2,0,2,0,0,3,4
feickja01,7:00,0,0,,0,0,,0,0,,0,2,2,0,1,0,0,0,0
Team Totals,240,36,80,.450,5,19,.263,14,16,.875,13,26,39,18,10,2,18,26,91
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
sealyma01,47:00,13,22,.591,2,4,.500,2,3,.667,0,3,3,2,3,0,2,3,30
outlabo01,35:00,2,7,.286,0,0,,2,4,.500,2,0,2,2,1,4,1,2,6
wrighlo02,30:00,3,5,.600,0,0,,2,3,.667,3,8,11,3,2,0,3,2,8
vaughlo01,28:00,7,12,.583,0,0,,1,2,.500,0,4,4,2,1,0,0,3,15
martida01,15:00,1,4,.250,0,1,.000,3,3,1.000,0,0,0,3,0,0,2,1,5
rogerro01,36:00,5,10,.500,1,3,.333,6,10,.600,2,5,7,1,2,1,3,2,17
barrybr01,30:00,4,8,.500,2,4,.500,4,4,1.000,1,2,3,7,1,1,1,1,14
murrala01,15:00,2,4,.500,1,1,1.000,3,5,.600,1,0,1,0,2,0,2,1,8
richapo01,4:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3
Team Totals,240,38,73,.521,7,14,.500,23,34,.676,9,22,31,21,12,6,14,15,106
