Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
barrybr01,35:00,9,17,.529,2,5,.400,1,1,1.000,1,2,3,4,6,0,0,1,21
martida01,31:00,2,9,.222,0,1,.000,0,0,,0,1,1,5,2,0,3,1,4
rogerro01,30:00,5,12,.417,1,1,1.000,0,0,,3,0,3,1,1,0,2,4,11
vaughlo01,28:00,3,8,.375,0,0,,0,0,,1,5,6,0,0,0,0,4,6
vrankst01,18:00,2,6,.333,0,0,,2,2,1.000,0,0,0,0,0,2,2,4,6
wrighlo02,24:00,3,5,.600,0,0,,5,6,.833,1,5,6,0,0,2,0,4,11
murrala01,22:00,6,12,.500,1,1,1.000,2,2,1.000,2,0,2,1,0,1,2,1,15
richapo01,17:00,1,2,.500,0,0,,0,0,,1,2,3,2,0,0,1,1,2
closske01,16:00,3,6,.500,0,0,,2,2,1.000,2,3,5,2,0,1,1,0,8
piatker01,14:00,5,6,.833,0,1,.000,0,1,.000,0,0,0,0,1,0,0,0,10
tayloma01,5:00,0,3,.000,0,0,,0,0,,1,1,2,1,0,0,2,1,0
Team Totals,240,39,86,.453,4,9,.444,12,14,.857,12,19,31,16,10,6,13,21,94
Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
outlabo01,42:00,5,7,.714,0,0,,6,9,.667,3,4,7,2,0,0,3,2,16
grantho01,36:00,9,13,.692,0,0,,1,2,.500,4,4,8,2,4,0,0,4,19
seikaro01,30:00,9,17,.529,0,0,,3,5,.600,5,6,11,1,0,0,4,4,21
pricema01,28:00,10,13,.769,3,5,.600,0,0,,2,6,8,8,1,0,3,1,23
anderni01,25:00,1,6,.167,0,1,.000,0,0,,2,2,4,5,0,0,2,1,2
stronde01,29:00,4,12,.333,0,0,,5,6,.833,3,4,7,0,0,1,1,0,13
wilkige01,28:00,5,17,.294,2,3,.667,5,5,1.000,3,1,4,1,0,0,0,2,17
armstda01,20:00,0,4,.000,0,0,,1,2,.500,1,1,2,6,1,0,2,2,1
kemptti01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
evansbr01,1:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0
Team Totals,240,43,89,.483,5,9,.556,21,29,.724,23,29,52,25,7,1,15,16,112
