Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
paytoga01,42:00,8,14,.571,4,6,.667,4,7,.571,1,5,6,10,4,0,3,4,24
schrede01,40:00,10,14,.714,1,2,.500,4,4,1.000,2,7,9,5,0,0,2,4,25
bakervi01,40:00,7,16,.438,0,0,,6,8,.750,2,2,4,4,2,1,1,4,20
hawkihe01,38:00,3,11,.273,2,4,.500,7,7,1.000,0,1,1,1,1,0,0,2,15
mcilvji01,12:00,0,0,,0,0,,0,0,,1,1,2,1,0,1,2,6,0
ellisda01,26:00,6,7,.857,4,5,.800,3,4,.750,0,5,5,0,0,0,3,4,19
perkisa01,20:00,0,4,.000,0,3,.000,0,0,,1,2,3,1,0,0,0,2,0
wingada01,15:00,1,2,.500,0,0,,1,2,.500,0,0,0,0,1,0,1,1,3
anthogr01,7:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0
Team Totals,240,35,68,.515,11,20,.550,25,32,.781,7,23,30,23,8,2,13,27,106
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
chapmre01,42:00,7,17,.412,3,7,.429,9,11,.818,0,4,4,3,1,0,1,5,26
mcdyean01,41:00,3,12,.250,0,0,,6,9,.667,4,9,13,2,0,2,3,5,12
kiddja01,39:00,4,9,.444,2,4,.500,1,1,1.000,1,4,5,8,3,0,3,3,11
cebalce01,36:00,5,16,.313,0,2,.000,8,11,.727,7,4,11,2,0,0,1,3,18
williho01,24:00,2,3,.667,0,0,,0,0,,5,3,8,1,0,1,1,4,4
nashst01,24:00,5,10,.500,1,2,.500,5,5,1.000,1,0,1,1,1,0,2,2,16
robincl02,23:00,1,8,.125,0,1,.000,2,4,.500,3,1,4,0,1,4,3,4,4
bryanma01,5:00,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,0,2,2
mannida01,4:00,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,4
mccloge01,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,29,81,.358,6,17,.353,33,43,.767,21,26,47,18,6,7,14,28,97
