Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
howarju01,44:00,10,17,.588,0,0,,6,7,.857,1,3,4,4,1,0,4,4,26
webbech01,44:00,10,18,.556,1,5,.200,5,7,.714,1,10,11,7,1,2,1,4,26
cheanca01,43:00,8,10,.800,0,0,,0,0,,1,4,5,4,2,0,0,4,16
daviste01,34:00,3,5,.600,0,0,,2,2,1.000,2,7,9,1,2,0,0,2,8
stricro02,33:00,7,13,.538,0,0,,7,14,.500,1,1,2,6,2,0,3,4,21
murratr01,22:00,3,7,.429,1,1,1.000,0,1,.000,3,2,5,3,1,0,0,1,7
whitnch01,15:00,2,3,.667,1,2,.500,4,6,.667,0,1,1,3,0,1,0,1,9
legleti01,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
wallabe01,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,43,74,.581,3,8,.375,24,37,.649,9,29,38,28,9,3,8,21,113
New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
johnsla02,41:00,10,19,.526,1,1,1.000,1,2,.500,1,2,3,2,0,0,1,2,22
houstal01,33:00,4,9,.444,0,2,.000,3,4,.750,1,4,5,3,0,0,2,2,11
willibu01,28:00,5,6,.833,0,0,,5,7,.714,2,5,7,0,0,0,3,1,15
oaklech01,28:00,2,8,.250,0,0,,0,0,,3,5,8,2,0,0,1,3,4
wardch01,18:00,2,5,.400,1,4,.250,1,2,.500,0,2,2,4,1,0,2,2,6
millsch01,32:00,5,11,.455,1,3,.333,4,4,1.000,2,5,7,1,1,1,0,6,15
childch01,31:00,4,8,.500,1,3,.333,0,0,,0,1,1,9,0,0,1,6,9
starkjo01,25:00,8,14,.571,4,6,.667,4,5,.800,0,1,1,4,0,0,2,3,24
dudlech02,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0
Team Totals,240,40,80,.500,8,19,.421,18,24,.750,9,26,35,25,2,1,13,26,106
