Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robingl01,45:00,9,16,.563,1,1,1.000,2,2,1.000,1,3,4,4,0,1,3,4,21
allenra02,39:00,10,19,.526,1,6,.167,4,5,.800,4,6,10,7,2,0,1,4,25
hillty01,38:00,5,10,.500,0,0,,4,4,1.000,2,5,7,2,4,0,3,5,14
perryel01,35:00,7,11,.636,0,0,,4,6,.667,0,1,1,6,2,0,0,2,18
johnser02,35:00,3,3,1.000,0,0,,2,2,1.000,1,7,8,0,0,2,2,4,8
currymi01,24:00,4,9,.444,0,0,,3,4,.750,0,1,1,3,0,0,2,5,11
gilliar01,13:00,4,7,.571,0,0,,1,1,1.000,1,2,3,1,0,0,1,0,9
langan01,8:00,0,0,,0,0,,0,0,,1,3,4,0,0,1,1,0,0
greenli01,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2
Team Totals,240,43,76,.566,2,7,.286,20,24,.833,10,28,38,23,8,4,14,26,108
Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
stricro02,46:00,10,19,.526,1,1,1.000,12,16,.750,5,3,8,11,2,1,5,1,33
cheanca01,44:00,6,15,.400,0,1,.000,6,8,.750,1,4,5,3,1,0,0,6,18
murratr01,41:00,8,18,.444,1,3,.333,3,4,.750,2,2,4,1,0,1,2,3,20
daviste01,37:00,7,8,.875,0,0,,0,1,.000,3,3,6,1,1,1,1,3,14
wallabe01,24:00,1,4,.250,0,0,,0,2,.000,0,4,4,1,1,1,0,4,2
grantha01,32:00,4,13,.308,0,1,.000,2,2,1.000,2,5,7,1,2,0,3,2,10
hamda01,10:00,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,1,2,1
whitnch01,5:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0
motenla01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Team Totals,240,36,78,.462,2,7,.286,24,35,.686,14,22,36,18,7,4,12,23,98
