Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
kempsh01,31:00,4,14,.286,0,0,,0,0,,3,2,5,0,0,0,0,1,8
persowe01,28:00,2,8,.250,2,3,.667,4,4,1.000,0,3,3,1,1,0,1,1,10
hendece02,28:00,2,5,.400,0,0,,1,2,.500,1,4,5,0,0,1,3,2,5
ilgauzy01,23:00,5,8,.625,0,0,,1,2,.500,3,3,6,0,0,2,1,2,11
knighbr01,18:00,2,5,.400,0,0,,2,2,1.000,0,2,2,4,0,0,3,4,6
anderde01,34:00,6,16,.375,2,4,.500,2,2,1.000,1,2,3,3,2,0,3,0,16
potapvi01,26:00,4,9,.444,0,0,,0,2,.000,2,3,5,2,0,0,2,5,8
thomaca01,19:00,1,6,.167,1,4,.250,0,0,,1,0,1,0,1,0,2,1,3
brooksc01,15:00,2,4,.500,1,1,1.000,1,2,.500,0,3,3,0,0,0,0,0,6
scottsh01,10:00,0,1,.000,0,0,,1,2,.500,0,3,3,0,1,1,0,1,1
surabo01,8:00,0,3,.000,0,1,.000,0,0,,1,2,3,2,0,0,1,0,0
Team Totals,240,28,79,.354,6,13,.462,12,18,.667,12,27,39,12,5,4,16,17,74
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
brownpj01,30:00,4,8,.500,0,0,,4,6,.667,2,9,11,2,1,2,0,2,12
hardati01,27:00,4,14,.286,2,6,.333,0,0,,0,2,2,6,2,0,2,0,10
majerda01,26:00,5,8,.625,1,3,.333,0,0,,0,5,5,3,1,0,1,0,11
mournal01,21:00,4,10,.400,0,0,,5,6,.833,3,5,8,1,0,4,2,4,13
lenarvo01,21:00,4,9,.444,1,2,.500,0,0,,1,0,1,2,1,0,0,0,9
causwdu01,27:00,2,7,.286,0,0,,0,2,.000,4,8,12,0,0,4,1,2,4
barrybr01,23:00,3,5,.600,2,3,.667,2,2,1.000,0,1,1,2,3,1,3,2,10
murdoer01,23:00,2,8,.250,0,1,.000,0,0,,0,3,3,6,1,0,0,3,4
stricma01,22:00,6,8,.750,0,0,,1,2,.500,1,2,3,3,0,1,1,3,13
conloma01,12:00,2,4,.500,0,0,,0,0,,0,2,2,2,0,0,1,3,4
waltere01,8:00,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,7
Team Totals,240,39,84,.464,7,16,.438,12,18,.667,11,38,49,27,9,12,11,19,97
