Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
kiddja01,37:00,5,12,.417,1,5,.200,1,2,.500,0,5,5,9,2,0,2,2,12
chapmre01,34:00,6,15,.400,2,9,.222,1,4,.250,1,2,3,2,0,1,2,2,15
mannida01,29:00,9,12,.750,0,0,,5,6,.833,2,5,7,3,0,0,4,2,23
mcdyean01,27:00,5,6,.833,0,0,,3,5,.600,2,5,7,1,1,2,1,4,13
robincl02,18:00,4,7,.571,1,1,1.000,0,0,,0,2,2,4,0,1,1,5,9
johnske02,30:00,2,5,.400,1,2,.500,4,5,.800,0,3,3,5,0,0,2,3,9
bryanma01,25:00,0,3,.000,0,0,,5,5,1.000,0,3,3,3,0,0,4,4,5
mccloge01,15:00,3,4,.750,2,3,.667,2,2,1.000,1,3,4,0,0,0,1,2,10
scottde01,15:00,1,3,.333,0,0,,0,0,,1,2,3,0,1,0,1,1,2
williho01,10:00,1,2,.500,0,0,,2,3,.667,1,4,5,0,0,0,0,2,4
Team Totals,240,36,69,.522,7,20,.350,23,32,.719,8,34,42,27,4,4,18,27,102
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
paytoga01,43:00,6,16,.375,2,8,.250,8,10,.800,2,3,5,5,2,0,1,4,22
schrede01,37:00,10,17,.588,0,1,.000,3,4,.750,2,4,6,5,2,1,1,1,23
bakervi01,35:00,8,11,.727,0,0,,2,5,.400,4,8,12,3,1,2,3,4,18
hawkihe01,28:00,1,4,.250,0,1,.000,1,1,1.000,0,1,1,3,3,0,2,1,3
mcilvji01,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
mcmilna01,23:00,3,8,.375,2,6,.333,0,0,,0,3,3,4,3,0,0,4,8
kerseje01,22:00,2,5,.400,0,0,,3,4,.750,1,1,2,1,1,0,0,4,7
ellisda01,21:00,1,9,.111,1,4,.250,0,0,,1,0,1,1,0,0,0,3,3
perkisa01,17:00,0,4,.000,0,2,.000,2,2,1.000,0,1,1,0,0,0,3,2,2
anthogr01,10:00,2,6,.333,2,5,.400,0,0,,2,1,3,1,0,0,0,0,6
Team Totals,240,33,80,.413,7,27,.259,19,26,.731,12,22,34,23,12,3,10,25,92
