Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
nowitdi01,36:00,1,7,.143,0,2,.000,3,4,.750,1,6,7,0,1,2,3,5,5
finlemi01,12:00,1,3,.333,0,0,,0,0,,0,1,1,3,0,0,2,1,2
bradlsh01,11:00,1,1,1.000,0,0,,0,0,,1,3,4,0,0,2,0,3,2
nashst01,9:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2
greenac01,7:00,2,5,.400,0,0,,0,0,,2,2,4,0,0,0,0,0,4
davishu01,32:00,2,11,.182,0,3,.000,0,0,,0,4,4,2,0,0,1,4,4
walkesa01,28:00,3,7,.429,0,0,,5,10,.500,2,6,8,0,0,0,2,5,11
anstech01,25:00,1,12,.083,0,1,.000,5,6,.833,2,2,4,2,3,0,0,1,7
packro01,24:00,4,7,.571,0,0,,10,10,1.000,0,1,1,2,0,0,3,4,18
williho01,23:00,0,1,.000,0,0,,0,0,,1,2,3,0,2,1,0,2,0
stricer01,19:00,2,8,.250,0,2,.000,0,0,,0,1,1,0,1,0,1,1,4
trentga01,14:00,2,4,.500,0,0,,2,4,.500,1,3,4,0,0,0,2,2,6
Team Totals,240,20,68,.294,0,8,.000,25,34,.735,10,31,41,10,7,5,14,29,65
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
russebr01,32:00,6,11,.545,1,2,.500,4,6,.667,2,5,7,1,2,0,2,1,17
malonka01,29:00,3,8,.375,0,0,,7,8,.875,2,8,10,2,1,1,5,2,13
ostergr01,27:00,1,6,.167,0,0,,2,2,1.000,3,6,9,0,1,1,1,4,4
stockjo01,26:00,3,6,.500,1,1,1.000,3,4,.750,1,1,2,5,1,0,0,2,10
andersh01,24:00,3,8,.375,0,2,.000,4,4,1.000,4,1,5,3,1,2,2,3,10
eisleho01,34:00,5,12,.417,1,2,.500,1,1,1.000,0,5,5,6,1,0,1,2,12
keefead01,19:00,1,2,.500,0,0,,3,5,.600,0,4,4,1,1,0,1,4,5
fulleto02,19:00,1,6,.167,0,0,,0,2,.000,1,4,5,0,1,0,5,2,2
fostegr01,14:00,2,7,.286,0,0,,1,2,.500,3,2,5,0,0,0,2,1,5
vaughja01,9:00,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2
kingch01,7:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0
Team Totals,240,26,70,.371,3,8,.375,25,34,.735,16,37,53,18,9,4,20,24,80
