Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
divacvl01,37:00,8,18,.444,0,0,,4,6,.667,5,4,9,0,0,2,5,4,20
webbech01,37:00,8,16,.500,1,1,1.000,0,3,.000,4,10,14,2,0,3,5,5,17
willija02,34:00,3,12,.250,1,4,.250,1,2,.500,1,5,6,7,2,0,1,0,8
willico02,28:00,5,9,.556,0,0,,0,2,.000,2,6,8,2,0,0,0,2,10
abdulta01,22:00,2,8,.250,0,1,.000,2,2,1.000,2,2,4,1,0,0,2,1,6
maxweve01,26:00,4,9,.444,1,6,.167,2,2,1.000,0,2,2,2,2,0,1,4,11
barryjo01,21:00,1,5,.200,0,3,.000,4,5,.800,3,4,7,1,0,0,2,2,6
fundela01,20:00,5,6,.833,0,0,,0,0,,0,3,3,0,1,0,1,3,10
stojape01,15:00,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,1,0,2
Team Totals,240,37,86,.430,3,16,.188,13,22,.591,17,36,53,17,5,5,18,21,90
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
finlemi01,43:00,7,21,.333,2,3,.667,0,0,,3,1,4,2,1,0,0,2,16
nashst01,29:00,2,9,.222,0,1,.000,0,0,,1,1,2,4,1,0,1,2,4
bradlsh01,24:00,1,4,.250,0,0,,1,4,.250,4,1,5,0,0,5,0,4,3
greenac01,11:00,2,5,.400,0,0,,0,0,,1,2,3,0,0,0,0,0,4
davishu01,10:00,1,4,.250,0,1,.000,1,2,.500,0,2,2,0,0,0,0,1,3
trentga01,39:00,14,25,.560,0,0,,1,3,.333,7,9,16,1,1,2,1,5,29
packro01,35:00,7,17,.412,0,0,,7,9,.778,2,5,7,6,4,0,3,2,21
williho01,21:00,1,2,.500,0,0,,0,0,,6,1,7,1,0,1,2,2,2
walkesa01,15:00,3,11,.273,0,0,,0,1,.000,2,7,9,0,0,0,1,0,6
stricer01,13:00,4,7,.571,1,1,1.000,0,0,,2,2,4,0,2,0,2,2,9
Team Totals,240,42,105,.400,3,6,.500,10,19,.526,28,31,59,14,9,8,10,20,97
