Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hardaan01,39:00,4,13,.308,0,3,.000,2,4,.500,1,9,10,4,0,0,1,2,10
anderni01,38:00,3,16,.188,2,7,.286,1,2,.500,1,6,7,4,2,0,1,0,9
grantho01,32:00,4,11,.364,0,0,,4,4,1.000,3,2,5,3,0,1,0,2,12
harprma01,28:00,5,10,.500,3,4,.750,1,2,.500,1,4,5,0,0,1,0,1,14
austiis01,25:00,4,12,.333,0,0,,4,10,.400,1,4,5,0,1,2,0,4,12
armstda01,35:00,5,6,.833,0,0,,6,7,.857,1,5,6,6,3,0,4,1,16
stronde01,20:00,3,9,.333,0,0,,2,2,1.000,2,3,5,1,1,1,2,1,8
doleami01,19:00,3,6,.500,0,0,,0,0,,4,1,5,1,0,0,0,2,6
wilkido01,4:00,0,2,.000,0,0,,0,0,,2,0,2,0,0,0,1,1,0
Team Totals,240,31,85,.365,5,14,.357,20,31,.645,16,34,50,19,7,5,9,14,87
Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
marshdo01,42:00,5,13,.385,0,1,.000,2,2,1.000,1,6,7,2,1,3,2,3,12
millsch01,41:00,1,10,.100,0,2,.000,1,2,.500,2,8,10,4,0,0,2,2,3
dampier01,29:00,6,11,.545,0,0,,5,8,.625,5,5,10,3,0,0,1,3,17
colesbi01,27:00,5,6,.833,0,0,,0,0,,1,5,6,5,2,0,3,5,10
starkjo01,22:00,2,12,.167,0,6,.000,0,0,,0,2,2,1,0,0,3,1,4
delkto01,23:00,4,12,.333,0,2,.000,2,3,.667,2,1,3,1,2,0,0,1,10
foylead01,20:00,1,2,.500,0,0,,0,0,,0,3,3,0,1,1,1,3,2
cummite01,19:00,5,11,.455,0,0,,0,0,,1,3,4,1,1,1,2,4,10
jamisan01,10:00,3,6,.500,0,0,,0,2,.000,3,2,5,0,1,1,1,0,6
spencfe01,7:00,0,2,.000,0,0,,0,0,,3,3,6,0,0,0,0,2,0
Team Totals,240,32,85,.376,0,11,.000,10,17,.588,18,38,56,17,8,6,15,24,74
