Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
richmmi01,38:00,8,18,.444,4,10,.400,3,3,1.000,1,6,7,1,3,1,2,3,23
stricro02,36:00,8,16,.500,1,3,.333,0,1,.000,0,7,7,12,0,0,3,4,17
howarju01,35:00,6,16,.375,0,0,,0,0,,3,2,5,3,0,0,1,5,12
thorpot01,28:00,3,5,.600,0,0,,0,0,,1,2,3,0,1,0,2,2,6
daviste01,14:00,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,0,1,4
murratr01,26:00,7,9,.778,4,4,1.000,2,2,1.000,1,2,3,1,0,0,1,4,20
cheanca01,22:00,4,10,.400,0,1,.000,2,2,1.000,1,0,1,3,2,0,0,1,10
wallabe01,19:00,2,2,1.000,0,0,,0,1,.000,2,2,4,0,2,2,1,0,4
mcinnje01,12:00,3,5,.600,0,0,,0,0,,1,2,3,0,0,0,0,0,6
legleti01,10:00,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3
Team Totals,240,44,88,.500,10,20,.500,7,9,.778,11,24,35,21,8,3,10,20,105
Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robingl01,37:00,4,13,.308,0,4,.000,3,4,.750,1,7,8,6,1,0,3,0,11
allenra02,34:00,8,12,.667,3,3,1.000,6,6,1.000,1,7,8,3,1,0,4,2,25
workmha01,29:00,6,9,.667,0,0,,3,3,1.000,0,5,5,7,0,0,4,2,15
thomati01,18:00,4,8,.500,2,4,.500,2,2,1.000,1,0,1,0,1,0,1,0,12
traylro01,16:00,1,3,.333,0,0,,0,0,,1,3,4,1,0,0,0,2,2
curryde01,25:00,5,8,.625,2,5,.400,1,2,.500,0,2,2,4,1,0,1,0,13
currymi01,23:00,0,4,.000,0,0,,0,0,,0,1,1,3,0,0,0,0,0
johnser02,22:00,2,4,.500,0,0,,2,3,.667,4,3,7,1,0,2,1,2,6
delnevi01,19:00,2,4,.500,1,1,1.000,2,2,1.000,0,0,0,2,0,0,1,1,7
gatlich01,17:00,8,9,.889,0,0,,0,1,.000,1,2,3,0,0,0,1,4,16
Team Totals,240,40,74,.541,8,17,.471,19,23,.826,9,30,39,27,4,2,16,13,107
