Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hillgr01,52:00,16,35,.457,1,3,.333,8,11,.727,3,6,9,5,0,1,4,5,41
stackje01,47:00,6,13,.462,2,3,.667,12,16,.750,2,5,7,1,0,1,6,6,26
hunteli01,40:00,8,16,.500,2,5,.400,1,2,.500,1,1,2,2,1,0,2,6,19
laettch01,37:00,5,15,.333,0,1,.000,5,7,.714,3,8,11,3,0,1,1,4,15
reiddo01,9:00,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,1,5,2
willije01,39:00,3,5,.600,0,0,,1,1,1.000,3,8,11,0,1,1,0,3,7
currymi01,20:00,1,3,.333,0,0,,2,2,1.000,0,2,2,1,0,0,2,6,4
montrer01,15:00,2,4,.500,0,0,,0,0,,2,1,3,0,0,1,2,2,4
millste01,12:00,1,4,.250,0,2,.000,0,2,.000,0,4,4,0,1,0,1,2,2
brownma01,10:00,0,1,.000,0,1,.000,2,2,1.000,1,0,1,1,0,0,0,3,2
buechju01,9:00,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0
Team Totals,290,43,99,.434,5,15,.333,31,43,.721,15,39,54,13,4,5,19,42,122
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hardati01,46:00,10,24,.417,3,9,.333,9,10,.900,1,4,5,5,1,0,2,2,32
mashbja01,38:00,7,15,.467,3,4,.750,4,6,.667,0,3,3,1,1,0,1,6,21
mournal01,35:00,5,12,.417,0,0,,4,7,.571,7,6,13,2,0,2,4,6,14
brownpj01,34:00,3,7,.429,0,0,,3,4,.750,1,4,5,3,2,0,3,5,9
majerda01,31:00,4,9,.444,3,6,.500,2,2,1.000,1,3,4,5,0,0,0,6,13
lenarvo01,38:00,3,14,.214,1,9,.111,7,10,.700,2,7,9,4,2,0,1,5,14
weathcl01,37:00,5,14,.357,0,0,,5,6,.833,5,10,15,1,1,2,2,5,15
stricma01,14:00,2,3,.667,0,0,,2,3,.667,4,5,9,1,0,1,0,3,6
cartean01,12:00,1,6,.167,0,0,,0,0,,1,2,3,2,0,0,1,1,2
buforro01,4:00,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2
waltere01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,290,41,106,.387,10,29,.345,36,48,.750,22,44,66,24,7,5,14,39,128
