Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hunteli01,33:00,2,8,.250,1,3,.333,0,0,,1,2,3,5,0,0,3,1,5
hillgr01,30:00,12,18,.667,0,1,.000,6,7,.857,0,6,6,4,0,0,3,1,30
millste01,25:00,2,8,.250,1,4,.250,0,0,,1,5,6,0,2,1,1,4,5
stackje01,24:00,2,10,.200,0,1,.000,1,2,.500,2,2,4,1,1,0,2,1,5
laettch01,19:00,2,5,.400,0,0,,4,4,1.000,1,0,1,2,0,0,2,4,8
currymi01,27:00,3,7,.429,0,0,,3,5,.600,0,0,0,1,0,0,0,0,9
reiddo01,23:00,4,6,.667,0,0,,1,2,.500,1,6,7,0,1,1,4,1,9
buechju01,16:00,4,7,.571,0,1,.000,0,0,,2,1,3,2,1,0,2,1,8
crottjo01,15:00,1,6,.167,0,2,.000,0,0,,0,1,1,5,2,1,1,3,2
willije01,14:00,0,1,.000,0,0,,0,0,,0,2,2,0,2,0,1,1,0
montrer01,10:00,2,2,1.000,0,0,,0,0,,0,5,5,1,1,1,0,3,4
vaughlo01,4:00,0,2,.000,0,0,,2,2,1.000,2,0,2,0,0,0,0,1,2
Team Totals,240,34,80,.425,2,12,.167,17,22,.773,10,30,40,21,10,4,19,21,87
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
duncati01,36:00,10,14,.714,0,0,,8,11,.727,1,9,10,2,0,3,3,3,28
eliema01,32:00,4,7,.571,1,4,.250,0,0,,0,2,2,7,1,1,0,2,9
johnsav01,28:00,11,14,.786,0,0,,0,0,,0,1,1,5,0,0,1,2,22
robinda01,26:00,4,5,.800,0,0,,3,3,1.000,1,6,7,3,1,1,1,2,11
brownch01,26:00,5,9,.556,0,0,,0,0,,0,6,6,3,0,2,1,3,10
rosema01,23:00,1,5,.200,0,0,,0,0,,0,5,5,0,0,0,6,5,2
jacksja01,22:00,0,6,.000,0,2,.000,0,0,,1,1,2,2,1,0,2,3,0
portete01,19:00,5,7,.714,3,4,.750,0,0,,0,3,3,3,0,0,2,3,13
kerrst01,11:00,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,2,0,4
walkesa01,9:00,3,5,.600,0,0,,0,0,,0,1,1,0,0,1,1,1,6
daniean01,8:00,0,1,.000,0,0,,1,2,.500,0,1,1,4,2,0,0,0,1
Team Totals,240,45,76,.592,4,10,.400,12,16,.750,3,35,38,29,5,8,19,24,106
