Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
finlemi01,48:00,11,27,.407,1,2,.500,9,11,.818,2,6,8,5,1,1,1,3,32
cebalce01,47:00,11,18,.611,1,1,1.000,2,2,1.000,6,6,12,3,2,1,0,0,25
nowitdi01,43:00,6,13,.462,1,3,.333,6,6,1.000,0,8,8,3,0,0,1,4,19
davishu01,39:00,4,9,.444,1,2,.500,0,0,,0,1,1,2,0,0,2,1,9
bradlsh01,38:00,3,5,.600,0,0,,1,2,.500,1,8,9,1,1,2,2,4,7
jonesda01,10:00,2,8,.250,0,4,.000,3,4,.750,0,2,2,1,0,0,1,1,7
hugheri02,10:00,1,2,.500,0,0,,2,4,.500,1,0,1,0,0,0,1,2,4
rooksse01,5:00,0,1,.000,0,0,,0,0,,3,0,3,0,0,0,3,2,0
Team Totals,240,38,83,.458,4,12,.333,23,29,.793,13,31,44,15,4,4,11,17,103
Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
garneke01,38:00,8,19,.421,1,3,.333,3,3,1.000,4,2,6,5,1,1,4,4,20
smithjo02,36:00,4,15,.267,0,0,,2,2,1.000,9,8,17,0,0,2,5,4,10
peelean01,35:00,5,10,.500,0,2,.000,4,4,1.000,0,3,3,2,1,0,2,3,14
brandte01,29:00,3,15,.200,0,7,.000,3,3,1.000,2,1,3,4,2,0,0,2,9
garrede01,5:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
mitchsa01,25:00,0,6,.000,0,0,,5,7,.714,1,2,3,1,0,0,0,1,5
sealyma01,23:00,5,13,.385,0,2,.000,0,0,,2,5,7,3,1,1,1,5,10
nestera01,22:00,1,3,.333,0,0,,1,2,.500,3,2,5,0,0,4,0,1,3
jacksbo01,19:00,5,9,.556,0,1,.000,3,3,1.000,2,1,3,3,0,0,0,3,13
averywi01,6:00,0,3,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,0,0
hammoto01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,31,94,.330,1,17,.059,21,24,.875,24,26,50,19,5,8,12,23,84
