Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
davisan01,40:00,4,11,.364,0,0,,3,4,.750,9,9,18,1,2,1,2,1,11
cartevi01,35:00,9,19,.474,0,0,,1,2,.500,0,2,2,4,2,1,2,3,19
mcgratr01,34:00,7,12,.583,0,1,.000,4,6,.667,3,6,9,6,0,1,6,3,18
oaklech01,32:00,2,7,.286,0,0,,2,2,1.000,3,9,12,0,1,0,1,5,6
willial02,22:00,3,6,.500,1,2,.500,1,3,.333,0,1,1,3,0,0,2,0,8
brownde01,25:00,3,12,.250,3,8,.375,3,4,.750,1,2,3,6,0,0,1,6,12
willike02,24:00,6,12,.500,0,0,,5,6,.833,3,4,7,0,0,1,1,2,17
boguemu01,23:00,0,2,.000,0,0,,0,0,,0,4,4,3,1,0,3,1,0
curryde01,5:00,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,34,84,.405,4,14,.286,19,27,.704,19,37,56,23,6,4,18,21,91
Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
iversal01,45:00,13,34,.382,3,8,.375,8,13,.615,4,3,7,7,1,1,4,3,37
geigema01,38:00,4,14,.286,0,0,,1,2,.500,2,7,9,1,1,2,2,5,9
snower01,34:00,2,8,.250,0,1,.000,1,2,.500,0,6,6,3,0,0,1,3,5
owensbi01,32:00,4,8,.500,2,3,.667,1,2,.500,4,3,7,2,2,0,5,2,11
lynchge01,27:00,2,5,.400,0,0,,0,0,,5,3,8,4,3,0,0,5,4
hughela01,21:00,5,9,.556,0,0,,2,2,1.000,0,2,2,1,0,0,0,1,12
mckieaa01,21:00,1,7,.143,0,1,.000,2,2,1.000,1,3,4,2,2,0,0,3,4
maccuto01,13:00,4,4,1.000,0,0,,1,1,1.000,2,1,3,0,2,1,0,4,9
bowenbr01,9:00,1,3,.333,0,0,,0,0,,1,1,2,0,1,0,0,0,2
Team Totals,240,36,92,.391,5,13,.385,16,24,.667,19,29,48,20,12,4,12,26,93
