Vancouver Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
bibbymi01,47:00,13,25,.520,0,3,.000,1,1,1.000,1,2,3,11,4,0,8,2,27
dickemi01,47:00,8,16,.500,2,5,.400,9,10,.900,2,4,6,6,4,5,4,2,27
abdursh01,43:00,6,16,.375,0,1,.000,5,6,.833,3,6,9,1,1,0,3,3,17
harriot01,30:00,3,6,.500,0,0,,0,0,,1,5,6,2,1,0,0,3,6
reevebr01,22:00,3,6,.500,0,0,,3,3,1.000,4,3,7,1,0,0,0,4,9
longgr01,26:00,2,3,.667,0,0,,0,0,,1,2,3,1,2,1,1,4,4
scottde01,23:00,4,9,.444,1,4,.250,3,3,1.000,0,2,2,1,0,1,0,2,12
westdo01,16:00,2,4,.500,0,0,,0,0,,1,2,3,1,0,0,1,4,4
pricebr01,6:00,0,1,.000,0,0,,0,0,,0,0,0,4,0,0,0,1,0
parksch02,5:00,1,2,.500,0,0,,0,0,,2,1,3,1,0,1,0,0,2
Team Totals,265,42,88,.477,3,13,.231,21,23,.913,15,27,42,29,12,8,17,25,108
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
murrala01,45:00,8,15,.533,1,4,.250,8,10,.800,3,3,6,3,4,0,1,1,25
millean02,44:00,3,13,.231,0,1,.000,3,4,.750,2,4,6,14,4,1,3,2,9
kempsh01,41:00,8,15,.533,0,0,,10,12,.833,3,8,11,1,1,2,6,5,26
persowe01,41:00,6,13,.462,5,10,.500,1,1,1.000,1,5,6,5,0,0,1,1,18
bryanma01,30:00,3,5,.600,0,0,,1,1,1.000,4,2,6,1,0,0,0,1,7
ferryda01,20:00,5,6,.833,2,2,1.000,0,0,,0,2,2,3,0,0,1,6,12
surabo01,19:00,2,8,.250,0,4,.000,2,2,1.000,1,2,3,0,2,0,2,4,6
declean01,16:00,3,5,.600,0,0,,0,0,,0,2,2,1,0,2,1,1,6
boykiea01,9:00,0,3,.000,0,0,,0,0,,0,0,0,2,0,0,2,1,0
Team Totals,265,38,83,.458,8,21,.381,25,30,.833,14,28,42,30,11,5,17,22,109
