Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
marshdo01,26:00,5,15,.333,0,0,,0,0,,5,9,14,3,0,1,2,2,10
hughela01,26:00,2,14,.143,0,2,.000,1,2,.500,2,2,4,3,3,0,2,1,5
foylead01,24:00,2,4,.500,0,0,,1,2,.500,0,4,4,0,0,4,1,3,5
blaylmo01,23:00,1,7,.143,0,3,.000,0,0,,0,0,0,4,1,0,1,3,2
caffeja01,22:00,6,11,.545,0,0,,3,6,.500,5,0,5,2,0,0,3,4,15
farmeto01,35:00,4,9,.444,0,1,.000,9,13,.692,2,2,4,3,2,4,1,4,17
cummivo01,34:00,10,19,.526,0,2,.000,1,2,.500,0,4,4,5,4,1,2,1,21
jacobsa01,23:00,3,7,.429,2,3,.667,0,0,,0,2,2,1,1,1,0,6,8
macksa01,22:00,2,10,.200,1,6,.167,0,0,,1,3,4,3,2,0,2,2,5
youngti01,5:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0
Team Totals,240,35,97,.361,3,17,.176,15,25,.600,16,26,42,24,13,11,14,27,88
Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
vanexni01,34:00,2,4,.500,0,0,,0,0,,0,5,5,16,2,0,6,0,4
lafrera01,30:00,8,13,.615,1,2,.500,1,2,.500,3,9,12,1,1,2,0,4,18
mccloge01,26:00,3,5,.600,1,3,.333,2,2,1.000,0,1,1,10,0,0,1,3,9
abdulta01,20:00,2,8,.250,0,0,,1,2,.500,0,1,1,3,0,2,2,1,5
mcdyean01,14:00,6,10,.600,0,0,,1,1,1.000,1,1,2,1,0,2,3,4,13
clarkke01,35:00,13,20,.650,0,0,,3,3,1.000,6,10,16,2,0,6,4,3,29
gatlich01,28:00,7,14,.500,0,0,,4,7,.571,2,7,9,1,0,0,1,3,18
bowenry01,22:00,4,6,.667,1,1,1.000,3,4,.750,2,0,2,0,1,1,2,5,12
jonespo01,21:00,6,13,.462,0,0,,0,0,,4,7,11,1,0,0,0,4,12
rogerro02,5:00,1,1,1.000,0,0,,0,0,,0,1,1,1,0,2,0,0,2
alexaco01,5:00,0,2,.000,0,0,,0,0,,0,3,3,4,1,0,1,0,0
Team Totals,240,52,96,.542,3,6,.500,15,21,.714,18,45,63,40,5,15,20,27,122
