Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
francst01,43:00,6,15,.400,2,4,.500,7,8,.875,3,3,6,10,3,0,2,5,21,+1
tayloma01,33:00,7,13,.538,0,1,.000,6,9,.667,1,6,7,0,0,0,2,2,20,+1
olajuha01,27:00,7,9,.778,0,0,,3,4,.750,1,4,5,0,1,5,1,4,17,0
williwa02,22:00,1,9,.111,0,2,.000,1,1,1.000,0,2,2,1,0,0,1,1,3,-11
andersh01,21:00,1,4,.250,0,1,.000,0,0,,2,2,4,3,0,0,0,3,2,-6
moblecu01,32:00,6,15,.400,2,6,.333,3,3,1.000,0,1,1,0,1,0,1,3,17,+19
norrimo01,24:00,2,5,.400,0,0,,2,4,.500,0,2,2,9,1,0,1,2,6,+15
bullama01,19:00,5,8,.625,4,5,.800,0,0,,1,2,3,1,0,1,0,0,14,+11
thomake01,19:00,4,7,.571,3,4,.750,0,0,,0,2,2,0,0,0,1,6,11,+5
Team Totals,240,39,85,.459,11,23,.478,22,29,.759,8,24,32,24,6,6,9,26,111,
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
paytoga01,43:00,15,25,.600,0,3,.000,5,8,.625,1,4,5,15,2,1,3,2,35,+2
lewisra02,40:00,2,8,.250,1,3,.333,0,2,.000,0,4,4,2,0,2,2,5,5,-7
patteru01,37:00,5,7,.714,0,1,.000,5,6,.833,2,5,7,2,0,0,3,2,15,+3
ewingpa01,27:00,2,5,.400,0,0,,2,2,1.000,0,7,7,0,0,2,2,5,6,0
mccoyje01,22:00,4,4,1.000,0,0,,0,0,,1,4,5,0,1,0,1,4,8,+7
masonde01,30:00,6,11,.545,0,1,.000,2,2,1.000,1,2,3,1,0,0,0,0,14,-14
bakervi01,21:00,8,16,.500,0,0,,1,1,1.000,6,3,9,0,0,1,2,6,17,-11
barrybr01,15:00,1,2,.500,0,0,,0,0,,0,3,3,2,0,0,2,1,2,-6
willish01,5:00,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,0,1,2,-9
Team Totals,240,44,80,.550,1,8,.125,15,21,.714,11,33,44,24,3,6,15,26,104,
