Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
eisleho01,42:00,7,15,.467,2,3,.667,7,7,1.000,2,1,3,8,1,0,1,2,23,+6
nowitdi01,41:00,9,17,.529,1,2,.500,8,8,1.000,0,6,6,3,1,1,2,5,27,-1
finlemi01,41:00,6,18,.333,0,2,.000,2,2,1.000,1,0,1,3,2,1,3,1,14,+1
alexaco02,24:00,3,9,.333,0,0,,1,1,1.000,1,1,2,1,1,1,0,1,7,-13
laettch01,17:00,2,5,.400,0,0,,0,0,,0,1,1,1,1,0,0,2,4,-16
bradlsh01,36:00,3,4,.750,0,0,,2,4,.500,0,6,6,0,0,3,0,2,8,+11
vaughlo01,30:00,4,10,.400,0,0,,0,0,,2,8,10,2,4,0,1,4,8,+19
davishu01,9:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2
Team Totals,240,34,78,.436,3,7,.429,20,22,.909,6,23,29,18,10,6,8,17,91,
Charlotte Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisba01,44:00,3,13,.231,1,5,.200,4,4,1.000,3,4,7,6,0,3,3,5,11,-6
mashbja01,43:00,10,19,.526,1,2,.500,1,2,.500,1,8,9,9,1,0,3,3,22,+2
wesleda01,39:00,9,16,.563,0,1,.000,1,1,1.000,3,3,6,5,0,0,0,3,19,0
campbel01,39:00,5,13,.385,0,0,,3,4,.750,1,5,6,1,0,2,3,3,13,-1
brownpj01,36:00,5,9,.556,0,0,,4,4,1.000,5,3,8,1,0,0,2,3,14,-7
hawkihe01,13:00,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,2,2,+5
colemde01,12:00,2,3,.667,1,2,.500,2,2,1.000,3,7,10,1,0,0,3,2,7,+6
magloja01,9:00,1,4,.250,0,0,,0,0,,1,2,3,1,0,0,1,1,2,-1
nailole01,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-3
Team Totals,240,36,79,.456,3,10,.300,15,17,.882,17,33,50,25,2,5,17,23,90,
