New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
johnsla02,44:00,3,11,.273,1,4,.250,4,5,.800,0,3,3,0,0,1,2,4,11,+5
houstal01,38:00,6,13,.462,0,2,.000,5,6,.833,0,3,3,6,2,0,3,4,17,-1
sprewla01,37:00,4,11,.364,1,1,1.000,5,5,1.000,0,2,2,5,4,1,3,5,14,+5
cambyma01,37:00,4,8,.500,0,0,,0,0,,5,8,13,0,2,3,1,5,8,0
wardch01,33:00,6,11,.545,4,6,.667,3,4,.750,0,6,6,5,2,0,3,1,19,+4
ricegl01,35:00,10,15,.667,4,4,1.000,5,5,1.000,0,5,5,0,1,0,0,2,29,+2
childch01,24:00,1,3,.333,0,0,,0,0,,0,2,2,3,0,0,2,2,2,-3
harriot01,16:00,1,2,.500,0,0,,1,1,1.000,3,3,6,1,0,0,3,5,3,+3
knightr01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,265,35,74,.473,10,17,.588,23,26,.885,8,32,40,20,11,5,17,28,103,
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
masonan01,51:00,6,10,.600,0,0,,9,10,.900,0,13,13,4,4,0,3,4,21,+2
jonesed02,46:00,7,18,.389,0,4,.000,7,9,.778,2,4,6,1,2,2,4,6,21,-3
hardati01,42:00,5,21,.238,4,14,.286,2,2,1.000,0,2,2,6,2,0,4,1,16,+1
grantbr01,42:00,3,7,.429,0,0,,9,11,.818,3,6,9,1,0,2,3,2,15,-5
bowenbr01,37:00,5,8,.625,1,3,.333,1,2,.500,3,3,6,0,0,0,0,5,12,-3
majerda01,20:00,1,3,.333,1,2,.500,1,1,1.000,0,1,1,2,0,0,0,1,4,-3
cartean01,15:00,3,4,.750,1,1,1.000,0,0,,0,0,0,1,0,0,1,3,7,+1
greenac01,11:00,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,1,4,-5
houseed01,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,265,31,73,.425,7,25,.280,31,37,.838,8,29,37,15,8,4,16,23,100,
