Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
masonan01,45:00,5,9,.556,0,0,,2,2,1.000,2,6,8,1,0,1,1,0,12,-4
jonesed02,40:00,5,13,.385,3,6,.500,1,2,.500,0,6,6,6,4,1,4,6,14,+1
hardati01,40:00,6,21,.286,1,10,.100,1,1,1.000,1,1,2,8,2,0,4,5,14,+8
bowenbr01,30:00,3,7,.429,3,5,.600,2,2,1.000,1,2,3,1,2,0,0,5,11,+12
grantbr01,29:00,7,16,.438,0,0,,6,8,.750,5,5,10,1,1,0,2,5,20,+5
greenac01,20:00,2,6,.333,0,1,.000,1,2,.500,0,4,4,0,1,0,0,0,5,-15
majerda01,15:00,1,4,.250,1,3,.333,0,0,,0,2,2,1,1,0,0,2,3,-19
cartean01,14:00,1,4,.250,0,0,,0,0,,1,1,2,2,0,0,3,1,2,-14
houseed01,5:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9
causwdu01,2:00,0,0,,0,0,,1,2,.500,0,0,0,1,0,0,0,0,1,0
Team Totals,240,30,82,.366,8,25,.320,14,19,.737,10,27,37,21,11,2,14,24,82,
Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
brandel01,46:00,6,17,.353,0,0,,5,8,.625,4,10,14,8,2,3,2,2,17,+3
mercero01,44:00,11,17,.647,0,0,,5,5,1.000,0,4,4,6,1,0,2,1,27,-1
drewbr01,30:00,2,4,.500,0,0,,0,0,,0,2,2,5,1,0,2,2,4,0
artesro01,29:00,6,11,.545,0,2,.000,4,6,.667,1,5,6,3,0,1,3,2,16,-6
millebr01,26:00,3,7,.429,0,0,,0,1,.000,3,1,4,1,1,3,3,6,6,-4
elamikh01,22:00,2,5,.400,1,3,.333,6,8,.750,0,3,3,3,2,0,1,0,11,+15
fizerma01,22:00,4,8,.500,0,1,.000,0,0,,3,8,11,2,1,0,5,4,8,+14
hoibefr01,19:00,0,3,.000,0,2,.000,0,0,,0,4,4,3,0,1,0,0,0,+13
bagarda01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
Team Totals,240,34,72,.472,1,8,.125,20,28,.714,11,37,48,31,8,8,18,18,89,
