Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
richmmi01,31:00,8,21,.381,1,3,.333,4,4,1.000,0,2,2,2,3,0,1,2,21,-12
hamilri01,30:00,6,14,.429,0,1,.000,3,4,.750,1,0,1,2,2,1,1,0,15,-17
whitnch01,26:00,1,7,.143,1,3,.333,0,0,,0,0,0,6,1,0,1,1,3,-22
smithmi02,25:00,1,4,.250,0,0,,0,0,,4,4,8,3,1,1,0,2,2,-10
whiteja01,19:00,4,6,.667,0,0,,0,0,,3,5,8,0,0,1,2,5,8,-13
laettch01,29:00,4,9,.444,1,1,1.000,10,12,.833,6,4,10,2,0,2,6,3,19,+6
alexaco02,22:00,0,11,.000,0,0,,2,2,1.000,1,3,4,1,0,0,1,1,2,+12
davishu01,18:00,1,4,.250,0,0,,1,1,1.000,1,1,2,3,0,0,0,2,3,+7
jonespo01,13:00,1,4,.250,0,0,,1,2,.500,3,3,6,0,0,0,0,2,3,-8
vaughlo01,10:00,4,5,.800,0,0,,2,2,1.000,2,2,4,0,0,0,1,1,10,+5
nesbyty01,10:00,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,0,0,3,3,-5
profila01,7:00,0,1,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,+7
Team Totals,240,31,90,.344,4,11,.364,25,29,.862,21,26,47,19,7,5,13,22,91,
New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
vanhoke01,39:00,7,13,.538,1,3,.333,6,8,.750,2,6,8,2,2,0,4,4,21,+19
marbust01,31:00,9,13,.692,1,2,.500,1,1,1.000,0,3,3,3,1,0,4,1,20,+10
harrilu01,29:00,3,9,.333,1,1,1.000,2,2,1.000,1,3,4,6,0,1,0,1,9,+6
martike01,24:00,5,13,.385,0,0,,2,5,.400,0,5,5,3,0,3,0,4,12,+8
eschmev01,18:00,1,2,.500,0,0,,2,4,.500,1,4,5,2,1,2,0,3,4,+17
williaa01,30:00,1,3,.333,0,0,,2,2,1.000,1,5,6,1,0,5,3,4,4,-7
newmajo01,28:00,6,11,.545,0,1,.000,1,1,1.000,0,2,2,2,3,1,0,4,13,+4
douglsh01,22:00,4,7,.571,0,1,.000,0,0,,0,3,3,6,0,0,1,2,8,0
jacksst02,15:00,3,7,.429,0,1,.000,2,2,1.000,0,2,2,1,2,1,1,1,8,+4
samakso01,4:00,1,3,.333,0,0,,0,0,,1,1,2,0,0,0,0,1,2,-11
Team Totals,240,40,81,.494,3,9,.333,18,25,.720,6,34,40,26,9,13,13,25,101,
