San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
anderde01,48:00,6,17,.353,2,3,.667,7,8,.875,4,4,8,1,3,1,6,3,21,+3
duncati01,45:00,9,21,.429,0,0,,11,21,.524,5,7,12,3,0,1,2,5,29,+2
robinda01,37:00,4,9,.444,0,0,,3,3,1.000,2,4,6,4,3,2,1,4,11,+9
ferryda01,26:00,1,3,.333,1,2,.500,1,2,.500,0,1,1,0,0,0,0,1,4,-1
portete01,20:00,1,8,.125,0,3,.000,0,0,,0,4,4,4,1,0,0,0,2,-8
daniean01,34:00,2,5,.400,1,2,.500,2,2,1.000,0,4,4,0,0,0,0,2,7,+1
johnsav01,32:00,5,8,.625,0,0,,0,0,,0,0,0,5,2,0,2,0,10,+16
walkesa01,21:00,3,5,.600,0,0,,3,3,1.000,1,5,6,0,0,1,1,5,9,-2
dialde01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
scottsh01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,265,31,76,.408,4,10,.400,27,39,.692,12,29,41,17,9,5,12,21,93,
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
onealsh01,49:00,12,23,.522,0,0,,9,18,.500,7,9,16,0,0,3,3,4,33,+4
bryanko01,44:00,16,33,.485,0,1,.000,6,8,.750,2,5,7,2,1,0,4,5,38,-4
grantho01,41:00,3,8,.375,0,0,,0,0,,8,4,12,1,2,1,2,5,6,-1
shawbr01,33:00,0,3,.000,0,1,.000,0,0,,0,9,9,1,1,1,0,5,0,-1
foxri01,22:00,0,7,.000,0,4,.000,0,0,,0,1,1,2,1,0,0,3,0,-3
luety01,32:00,3,5,.600,0,1,.000,0,0,,0,2,2,2,0,0,1,3,6,-15
horryro01,19:00,1,4,.250,0,2,.000,0,0,,0,3,3,2,2,1,1,3,2,0
georgde01,13:00,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-6
penbemi01,10:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,+8
madsema01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Team Totals,265,37,88,.420,0,11,.000,15,26,.577,17,34,51,11,7,6,12,29,89,
