Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
allenra02,38:00,6,14,.429,2,5,.400,8,9,.889,0,4,4,9,1,1,0,4,22,+15
masonan01,36:00,0,0,,0,0,,0,0,,1,2,3,4,1,0,2,2,0,+3
robingl01,35:00,4,11,.364,1,4,.250,4,4,1.000,0,2,2,2,2,0,3,2,13,-16
cassesa01,27:00,9,15,.600,2,3,.667,7,8,.875,1,4,5,4,1,0,0,4,27,-2
popema01,17:00,2,5,.400,0,2,.000,1,2,.500,0,2,2,0,0,0,1,3,5,-7
johnser02,28:00,3,6,.500,0,0,,1,2,.500,2,8,10,0,0,3,2,1,7,+13
thomati01,24:00,5,7,.714,2,2,1.000,0,0,,1,2,3,1,1,0,1,2,12,+15
alstora01,19:00,3,6,.500,1,1,1.000,3,4,.750,0,0,0,5,1,0,2,1,10,+11
reddmi01,16:00,3,7,.429,2,4,.500,3,4,.750,0,1,1,0,2,0,0,5,11,+13
Team Totals,240,35,71,.493,10,21,.476,27,33,.818,5,25,30,25,9,4,11,24,107,
Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
laettch01,42:00,6,9,.667,0,1,.000,0,0,,3,6,9,8,1,0,1,5,12,+3
jordami01,41:00,12,24,.500,0,1,.000,7,8,.875,1,3,4,3,2,1,3,3,31,-12
simmobo01,37:00,2,4,.500,0,0,,1,1,1.000,0,5,5,3,1,0,2,6,5,+3
whitnch01,23:00,4,9,.444,1,3,.333,3,3,1.000,0,1,1,2,1,0,1,4,12,+4
brownkw01,12:00,1,5,.200,0,0,,0,0,,1,1,2,2,0,0,1,2,2,-7
hamilri01,32:00,4,13,.308,0,0,,7,9,.778,0,1,1,2,0,0,2,3,15,-16
jonespo01,25:00,5,5,1.000,0,0,,3,3,1.000,5,5,10,0,0,0,0,1,13,+7
alexaco02,13:00,2,5,.400,0,0,,0,0,,0,1,1,0,0,0,0,1,4,-4
luety01,7:00,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,2,2,4,-10
thomaet01,7:00,0,0,,0,0,,0,0,,0,2,2,0,0,1,2,0,0,-15
nesbyty01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Team Totals,240,38,77,.494,1,5,.200,21,24,.875,10,26,36,21,5,2,14,27,98,
