Charlotte Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisba01,38:00,4,14,.286,2,5,.400,2,8,.250,0,4,4,7,0,2,4,4,12,-19
wesleda01,34:00,5,14,.357,3,7,.429,1,1,1.000,0,0,0,2,3,0,3,3,14,-29
brownpj01,26:00,1,3,.333,0,0,,2,2,1.000,1,7,8,0,1,0,1,1,4,-20
nailole01,21:00,3,7,.429,0,0,,0,0,,0,3,3,1,0,0,2,1,6,-21
campbel01,19:00,4,7,.571,0,0,,3,4,.750,2,1,3,3,1,1,4,4,11,-15
drewbr01,21:00,0,4,.000,0,2,.000,4,4,1.000,0,1,1,1,1,0,3,3,4,-13
augmost01,19:00,0,3,.000,0,0,,1,2,.500,0,2,2,1,1,0,1,1,1,+1
traylro01,18:00,2,4,.500,0,0,,1,2,.500,3,3,6,1,0,1,2,3,5,-10
magloja01,17:00,1,2,.500,0,0,,1,2,.500,1,4,5,0,0,1,1,2,3,-2
bullama01,16:00,4,5,.800,2,2,1.000,0,0,,2,5,7,0,0,0,1,1,10,-9
hastoki01,6:00,1,3,.333,0,1,.000,0,2,.000,1,2,3,0,0,0,0,0,2,-3
moisoje01,5:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,0
Team Totals,240,27,68,.397,7,17,.412,15,27,.556,10,33,43,16,7,5,22,23,76,
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wallabe01,41:00,2,6,.333,0,0,,1,1,1.000,7,9,16,1,5,2,0,3,5,+27
robincl02,34:00,7,16,.438,4,6,.667,3,4,.750,0,2,2,3,1,1,2,2,21,+21
stackje01,33:00,9,20,.450,1,5,.200,8,10,.800,2,2,4,7,1,0,3,3,27,+19
currymi01,24:00,3,6,.500,0,0,,2,2,1.000,0,3,3,6,1,0,2,3,8,+17
atkinch01,24:00,1,5,.200,0,0,,2,2,1.000,0,3,3,0,3,0,1,2,4,+7
jonesda01,24:00,5,7,.714,2,2,1.000,0,0,,0,3,3,5,1,0,1,1,12,+21
barryjo01,22:00,1,2,.500,0,1,.000,0,0,,1,2,3,5,2,0,1,2,2,+13
willico02,18:00,6,9,.667,0,0,,5,5,1.000,0,3,3,0,1,0,0,3,17,+15
alexavi01,11:00,3,7,.429,0,0,,0,2,.000,1,3,4,0,0,0,0,1,6,0
cardibr01,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
mooremi01,3:00,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,0
rebraze01,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Team Totals,240,37,80,.463,7,14,.500,23,28,.821,11,31,42,27,15,3,10,21,104,
