New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
kittlke01,37:00,5,10,.500,1,2,.500,4,4,1.000,1,1,2,4,2,0,2,1,15,-1
martike01,37:00,4,12,.333,1,3,.333,1,4,.250,1,8,9,4,0,2,2,2,10,+9
kiddja01,36:00,4,12,.333,1,6,.167,5,5,1.000,2,8,10,6,1,0,4,1,14,+4
vanhoke01,29:00,7,16,.438,1,3,.333,0,0,,2,9,11,3,0,1,2,4,15,+8
maccuto01,21:00,2,8,.250,0,0,,0,0,,0,1,1,0,0,2,0,1,4,0
harrilu01,23:00,6,9,.667,1,2,.500,7,8,.875,0,3,3,2,4,0,1,2,20,+9
jefferi01,22:00,2,8,.250,0,0,,3,4,.750,0,4,4,2,2,0,1,4,7,+4
collija04,21:00,0,4,.000,0,0,,4,4,1.000,1,3,4,1,0,1,0,2,4,+3
williaa01,14:00,1,6,.167,0,0,,0,0,,2,3,5,1,0,0,0,0,2,-6
Team Totals,240,31,85,.365,5,16,.313,24,29,.828,9,40,49,23,9,6,12,17,91,
Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
mcgratr01,39:00,6,20,.300,0,2,.000,5,8,.625,3,9,12,7,0,3,2,1,17,-7
garripa01,38:00,6,13,.462,3,7,.429,2,2,1.000,1,6,7,0,1,1,1,4,17,-3
grantho01,33:00,8,13,.615,0,0,,0,0,,2,6,8,0,1,2,0,2,16,-4
millemi01,32:00,3,12,.250,2,8,.250,2,5,.400,1,6,7,0,0,1,4,3,10,+2
armstda01,32:00,1,10,.100,0,7,.000,0,0,,2,6,8,4,4,0,4,2,2,-10
hudsotr01,25:00,3,8,.375,1,2,.500,0,0,,0,2,2,6,1,0,2,0,7,-1
reiddo01,20:00,4,6,.667,0,0,,1,2,.500,2,2,4,1,0,3,1,5,9,-3
willimo01,13:00,3,6,.500,0,0,,1,1,1.000,1,2,3,1,1,0,1,3,7,-5
buechju01,8:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+1
Team Totals,240,34,89,.382,6,26,.231,11,18,.611,12,40,52,19,8,10,15,21,85,
