Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
piercpa01,42:00,7,19,.368,3,10,.300,7,7,1.000,2,9,11,1,1,1,4,2,24,-7
walkean02,39:00,7,21,.333,3,11,.273,1,2,.500,2,7,9,5,0,0,7,4,18,-16
anderke01,28:00,1,7,.143,0,0,,2,2,1.000,0,1,1,3,0,0,1,0,4,-20
battito01,24:00,3,5,.600,0,0,,2,2,1.000,3,4,7,1,1,1,1,1,8,-18
willier01,24:00,1,4,.250,1,2,.500,0,0,,0,4,4,2,0,0,0,1,3,-18
stricer01,28:00,3,10,.300,2,5,.400,0,0,,0,1,1,5,3,0,1,4,8,-6
mccarwa01,24:00,3,5,.600,2,4,.500,0,0,,0,3,3,1,0,0,1,4,8,-4
potapvi01,21:00,1,4,.250,0,0,,1,1,1.000,2,2,4,1,0,0,1,1,3,+2
blounma01,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
palacmi01,4:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-4
johnsjo02,2:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-5
Team Totals,240,27,77,.351,12,33,.364,13,14,.929,9,32,41,20,5,2,17,17,79,
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
paytoga01,42:00,8,18,.444,1,5,.200,2,2,1.000,0,7,7,6,3,1,3,4,19,+14
barrybr01,36:00,6,9,.667,2,5,.400,3,4,.750,2,7,9,9,2,0,0,1,17,+17
lewisra02,25:00,5,12,.417,1,2,.500,0,0,,0,3,3,0,0,0,0,2,11,+12
jamesje01,24:00,4,7,.571,0,0,,0,1,.000,4,5,9,0,0,4,4,3,8,+5
radmavl01,21:00,1,7,.143,0,2,.000,0,0,,1,1,2,5,2,0,2,4,2,-2
masonde01,38:00,7,17,.412,0,0,,1,1,1.000,2,4,6,4,3,0,1,1,15,+18
drobnpr01,24:00,7,11,.636,0,0,,2,3,.667,1,4,5,2,1,0,1,0,16,+15
watsoea01,18:00,2,4,.500,1,2,.500,0,0,,1,0,1,4,1,0,1,1,5,+9
longar01,12:00,2,2,1.000,0,0,,2,2,1.000,2,3,5,0,0,0,0,0,6,+12
Team Totals,240,42,87,.483,5,16,.313,10,13,.769,13,34,47,30,12,5,12,16,99,
