Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
walkean02,46:00,6,16,.375,1,5,.200,4,4,1.000,2,5,7,4,4,1,2,2,17,+8
piercpa01,44:00,7,25,.280,2,7,.286,12,14,.857,2,2,4,4,3,1,2,4,28,+3
delkto01,37:00,3,7,.429,0,0,,6,6,1.000,2,5,7,4,1,0,2,0,12,+4
anderke01,26:00,3,8,.375,0,0,,2,2,1.000,1,1,2,6,2,0,0,4,8,+2
potapvi01,14:00,3,7,.429,0,0,,0,0,,0,2,2,0,1,1,0,3,6,-10
rogerro01,27:00,5,9,.556,3,6,.500,2,2,1.000,3,1,4,1,0,2,0,3,15,+18
mccarwa01,24:00,4,5,.800,0,1,.000,0,0,,1,5,6,1,0,1,1,5,8,+17
blounma01,9:00,1,1,1.000,0,0,,2,4,.500,0,2,2,0,0,0,0,2,4,-4
stricer01,7:00,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-7
willier01,6:00,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,-1
Team Totals,240,33,82,.402,6,20,.300,28,32,.875,11,24,35,22,11,6,8,24,100,
Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
iversal01,44:00,8,30,.267,3,6,.500,9,9,1.000,2,5,7,6,2,0,5,1,28,-12
snower01,41:00,7,14,.500,0,0,,2,3,.667,0,5,5,8,1,0,4,1,16,-1
colemde01,40:00,7,13,.538,0,3,.000,2,4,.500,3,8,11,0,0,1,2,3,16,+2
harprma01,33:00,2,11,.182,0,2,.000,5,6,.833,3,4,7,3,1,0,1,3,9,+3
mutomdi01,33:00,2,3,.667,0,0,,5,6,.833,3,4,7,0,0,0,2,5,9,+6
mckeyde01,21:00,2,3,.667,1,1,1.000,1,2,.500,1,4,5,2,0,0,1,4,6,-7
claxtsp01,14:00,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,1,2,4,-6
blounco01,12:00,1,2,.500,0,0,,1,2,.500,2,1,3,1,1,0,0,4,3,-12
bellra01,2:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-3
Team Totals,240,32,80,.400,5,13,.385,25,32,.781,15,32,47,21,5,1,16,23,94,
