Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
nowitdi01,33:00,7,19,.368,1,6,.167,3,4,.750,2,8,10,5,3,2,2,2,18,+42
nashst01,32:00,3,5,.600,1,2,.500,1,2,.500,0,2,2,9,3,0,5,3,8,+38
finlemi01,31:00,10,20,.500,2,4,.500,2,3,.667,1,4,5,2,1,0,0,3,24,+25
buckngr01,27:00,5,7,.714,1,1,1.000,0,0,,0,1,1,2,1,0,1,3,11,+29
lafrera01,26:00,4,10,.400,1,4,.250,5,5,1.000,3,10,13,2,1,1,0,2,14,+27
najered01,27:00,4,8,.500,0,0,,2,3,.667,4,7,11,0,1,2,2,4,10,-1
vanexni01,26:00,4,9,.444,2,5,.400,3,4,.750,1,4,5,7,0,0,4,1,13,0
newmajo01,11:00,1,2,.500,1,2,.500,1,2,.500,0,0,0,0,2,0,0,1,4,+13
johnsav01,9:00,1,4,.250,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,4,-12
bradlsh01,9:00,1,4,.250,0,0,,0,1,.000,0,2,2,0,0,1,0,4,2,-19
zhizhwa01,9:00,0,3,.000,0,1,.000,0,0,,1,2,3,0,0,0,2,0,0,-12
Team Totals,240,40,91,.440,9,25,.360,19,26,.731,12,40,52,28,12,6,16,24,108,
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
delkto01,33:00,7,14,.500,0,4,.000,3,4,.750,1,5,6,2,3,0,1,3,17,-2
walkean02,30:00,1,7,.143,0,2,.000,3,4,.750,2,5,7,3,1,0,4,2,5,-24
piercpa01,24:00,6,13,.462,1,4,.250,6,7,.857,0,4,4,0,1,0,3,3,19,-23
willier01,19:00,0,4,.000,0,1,.000,0,0,,0,3,3,0,0,0,2,1,0,-13
battito01,11:00,1,4,.250,0,0,,0,2,.000,0,2,2,0,0,3,0,2,2,+1
mccarwa01,34:00,5,11,.455,2,6,.333,1,2,.500,2,5,7,1,1,0,0,2,13,-24
stricer01,26:00,2,8,.250,1,4,.250,2,2,1.000,0,5,5,4,0,0,2,1,7,-27
rogerro01,21:00,1,5,.200,0,2,.000,2,2,1.000,0,3,3,3,1,0,3,3,4,-38
brownke01,14:00,2,4,.500,1,2,.500,1,2,.500,3,3,6,1,2,0,3,2,6,+15
potapvi01,10:00,1,4,.250,0,0,,1,2,.500,1,1,2,0,0,0,3,3,3,-19
blounma01,9:00,1,3,.333,0,0,,2,2,1.000,0,3,3,0,0,1,0,0,4,+12
fortejo01,9:00,1,5,.200,0,1,.000,0,0,,0,0,0,2,2,0,0,1,2,+12
Team Totals,240,28,82,.341,5,26,.192,21,29,.724,9,39,48,16,11,4,21,23,82,
