Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
barrybr01,41:00,6,10,.600,1,4,.250,0,1,.000,0,6,6,5,3,0,3,4,13,-1
paytoga01,38:00,11,21,.524,2,4,.500,1,2,.500,5,5,10,11,4,1,1,2,25,0
masonde01,38:00,8,18,.444,1,3,.333,3,3,1.000,3,1,4,3,1,2,0,2,20,-5
drobnpr01,20:00,2,7,.286,0,0,,0,0,,1,2,3,1,0,0,0,2,4,-6
jamesje01,16:00,2,3,.667,0,0,,0,0,,0,2,2,0,1,0,1,4,4,+1
sesayan01,28:00,5,12,.417,0,0,,2,2,1.000,2,2,4,1,2,1,1,3,12,+3
bakervi01,25:00,5,11,.455,0,1,.000,0,3,.000,3,1,4,1,0,1,3,6,10,-3
livinra01,17:00,3,8,.375,0,1,.000,0,0,,2,0,2,4,1,0,0,2,6,+2
willish01,14:00,1,2,.500,0,0,,0,0,,0,2,2,3,0,0,1,1,2,-6
oyedeol01,3:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+5
Team Totals,240,44,93,.473,4,13,.308,6,11,.545,17,21,38,29,12,5,10,26,98,
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
francst01,44:00,11,24,.458,1,2,.500,9,11,.818,2,4,6,6,0,1,6,1,32,+1
moblecu01,38:00,5,14,.357,1,3,.333,5,5,1.000,0,0,0,1,1,0,1,3,16,-4
thomake01,36:00,4,8,.500,0,0,,8,10,.800,4,4,8,2,0,4,3,3,16,+1
langhda01,28:00,8,9,.889,1,2,.500,0,0,,0,5,5,0,0,1,0,1,17,0
catoke01,26:00,1,1,1.000,0,0,,2,3,.667,5,5,10,1,0,2,1,1,4,+3
norrimo01,23:00,1,6,.167,0,2,.000,6,6,1.000,2,2,4,4,0,0,4,1,8,+1
morrite01,20:00,2,3,.667,0,0,,1,2,.500,1,3,4,0,0,0,1,0,5,+2
collija02,14:00,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-2
torreos01,7:00,1,3,.333,0,1,.000,0,0,,1,3,4,0,0,0,0,1,2,+7
brownti01,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1
Team Totals,240,33,70,.471,3,10,.300,31,37,.838,15,29,44,14,1,8,16,13,100,
