Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
roseja01,39:00,8,23,.348,0,4,.000,8,10,.800,1,2,3,3,1,0,0,4,24,-8
hassetr01,34:00,5,8,.625,1,3,.333,0,0,,2,4,6,1,2,1,1,3,11,-4
willija03,29:00,3,12,.250,1,4,.250,3,3,1.000,0,4,4,5,1,0,2,5,10,-1
chandty01,20:00,0,6,.000,0,0,,0,2,.000,3,5,8,0,0,4,1,1,0,-5
curryed01,13:00,3,7,.429,0,0,,1,1,1.000,1,4,5,0,0,0,3,1,7,-3
marshdo01,34:00,8,15,.533,0,2,.000,1,4,.250,3,5,8,0,1,5,1,2,17,-7
fizerma01,22:00,5,10,.500,0,0,,4,4,1.000,3,1,4,1,2,1,1,3,14,+1
crawfja01,19:00,1,4,.250,0,0,,2,2,1.000,0,2,2,2,2,0,1,2,4,-5
robined01,13:00,0,3,.000,0,0,,1,2,.500,0,2,2,1,0,0,0,2,1,+4
hoibefr01,10:00,1,2,.500,0,0,,0,0,,0,1,1,0,2,0,0,0,2,0
blounco01,7:00,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,2,2,2,-2
Team Totals,240,35,92,.380,2,13,.154,20,28,.714,14,31,45,13,11,11,12,25,92,
Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
terryja01,39:00,7,17,.412,0,3,.000,9,10,.900,1,2,3,7,0,0,3,2,23,+15
robingl01,38:00,10,20,.500,1,2,.500,9,10,.900,1,6,7,3,0,0,2,1,30,-1
newblir01,37:00,3,6,.500,0,0,,1,2,.500,3,6,9,3,0,1,1,3,7,+8
abdursh01,31:00,5,11,.455,1,1,1.000,2,3,.667,0,6,6,3,1,0,2,4,13,+8
ratlith01,31:00,4,9,.444,0,0,,4,6,.667,3,5,8,4,0,6,2,2,12,+12
hendeal01,22:00,2,6,.333,0,0,,0,0,,6,5,11,0,0,0,3,3,4,-10
davisem01,13:00,1,3,.333,1,1,1.000,0,0,,0,3,3,2,2,1,4,2,3,-7
hamda01,13:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,1,2,+5
glovedi01,8:00,1,3,.333,0,0,,2,2,1.000,0,0,0,1,0,0,1,0,4,+4
harvean01,5:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-1
dickada01,3:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0,-3
Team Totals,240,34,80,.425,3,8,.375,27,33,.818,14,35,49,23,3,8,21,20,98,
