Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
paytoga01,49:00,13,20,.650,0,2,.000,6,6,1.000,0,3,3,8,2,1,0,1,32,+3
barrybr01,44:00,5,11,.455,1,4,.250,4,4,1.000,0,5,5,6,2,0,0,2,15,-7
lewisra02,37:00,5,17,.294,1,3,.333,7,8,.875,2,1,3,1,1,0,3,4,18,-13
drobnpr01,32:00,4,11,.364,0,0,,0,0,,3,4,7,2,1,2,0,4,8,+3
evansre01,19:00,3,4,.750,0,0,,1,2,.500,3,1,4,0,1,0,1,4,7,-3
masonde01,36:00,11,20,.550,0,0,,1,2,.500,2,3,5,0,1,2,1,1,23,-2
radmavl01,15:00,1,6,.167,0,2,.000,3,4,.750,0,1,1,0,1,1,1,1,5,+4
boothca01,13:00,0,0,,0,0,,0,0,,0,3,3,0,1,0,0,2,0,-1
anderke01,12:00,3,4,.750,0,0,,2,2,1.000,0,0,0,0,1,0,0,1,8,0
sesayan01,8:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,1,6,0,+1
Team Totals,265,45,95,.474,2,11,.182,24,28,.857,11,21,32,17,11,6,7,26,116,
Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
robingl01,48:00,12,20,.600,5,7,.714,8,9,.889,4,8,12,5,3,1,7,4,37,+2
abdursh01,44:00,11,19,.579,0,1,.000,9,13,.692,5,4,9,2,0,1,6,5,31,+3
terryja01,43:00,6,14,.429,3,5,.600,0,0,,0,2,2,10,0,0,3,5,15,+16
hendeal01,42:00,4,9,.444,0,0,,6,7,.857,7,14,21,1,0,1,4,1,14,+4
newblir01,38:00,4,6,.667,0,0,,2,4,.500,3,2,5,3,0,1,3,5,10,-4
hamda01,22:00,2,6,.333,0,0,,1,2,.500,1,2,3,2,0,0,1,2,5,-1
glovedi01,13:00,1,5,.200,0,1,.000,0,0,,0,1,1,1,0,0,0,2,2,+2
davisem01,9:00,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,-8
malonma01,6:00,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,1,0,3,1,3,+1
Team Totals,265,41,82,.500,9,16,.563,28,37,.757,20,35,55,25,4,4,27,25,119,
