Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisri01,50:00,13,25,.520,2,5,.400,14,15,.933,1,7,8,7,3,1,2,2,42,-1
wagneda02,42:00,5,15,.333,1,5,.200,3,4,.750,0,1,1,1,0,0,1,5,14,-5
palacmi01,41:00,3,6,.500,0,0,,5,6,.833,1,4,5,2,3,0,1,4,11,-2
boozeca01,39:00,6,9,.667,0,0,,1,2,.500,2,4,6,0,2,1,1,6,13,+2
ilgauzy01,31:00,8,14,.571,0,1,.000,4,6,.667,1,3,4,1,0,3,2,6,20,+2
jonesju01,23:00,2,4,.500,1,2,.500,0,0,,0,4,4,1,0,0,1,4,5,-5
diopde01,19:00,0,2,.000,0,0,,0,0,,1,2,3,0,2,1,0,3,0,-5
mihmch01,11:00,0,3,.000,0,0,,0,0,,2,1,3,1,0,0,0,3,0,+6
parkesm01,9:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,3,1,2,-2
Team Totals,265,38,79,.481,4,13,.308,27,33,.818,8,26,34,14,10,6,11,34,107,
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wallabe01,46:00,4,9,.444,0,0,,3,6,.500,9,10,19,4,1,4,5,3,11,-3
robincl02,43:00,4,12,.333,1,4,.250,6,6,1.000,2,6,8,4,3,1,1,4,15,+11
billuch01,37:00,4,11,.364,1,3,.333,3,6,.500,0,3,3,3,1,2,2,3,12,+8
hamilri01,35:00,6,14,.429,1,1,1.000,14,20,.700,2,3,5,4,0,0,2,4,27,+6
currymi01,21:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,5,2,-8
willico02,30:00,8,17,.471,0,0,,3,4,.750,2,0,2,0,1,0,2,3,19,+3
barryjo01,20:00,2,4,.500,1,2,.500,1,1,1.000,0,0,0,4,0,0,1,2,6,+3
atkinch01,16:00,5,6,.833,3,4,.750,0,0,,0,1,1,2,1,0,2,3,13,-2
rebraze01,16:00,2,4,.500,0,0,,0,0,,0,3,3,1,0,0,0,1,4,-6
davishu01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,265,36,79,.456,7,14,.500,30,43,.698,15,26,41,23,7,7,16,28,109,
