San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
duncati01,42:00,10,24,.417,0,0,,3,3,1.000,9,8,17,6,0,3,3,1,23,-9
bowenbr01,38:00,4,6,.667,2,3,.667,0,0,,0,1,1,4,0,0,0,3,10,+5
parketo01,36:00,8,11,.727,1,3,.333,3,3,1.000,1,5,6,13,0,0,2,2,20,+4
robinda01,30:00,7,13,.538,0,0,,6,6,1.000,3,8,11,1,0,0,2,2,20,+6
jacksst02,28:00,3,10,.300,0,3,.000,1,2,.500,1,1,2,1,2,0,4,3,7,-6
ginobma01,28:00,4,8,.500,2,5,.400,4,4,1.000,1,2,3,2,0,1,1,4,14,+6
rosema01,24:00,4,8,.500,0,0,,2,4,.500,1,4,5,1,2,0,2,2,10,+7
kerrst01,12:00,2,3,.667,1,2,.500,0,0,,0,1,1,0,1,0,1,0,5,-1
ferryda01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Team Totals,240,42,83,.506,6,16,.375,19,22,.864,16,30,46,28,5,4,15,18,109,
Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
mcgratr01,39:00,15,36,.417,1,7,.143,4,4,1.000,2,5,7,6,2,0,0,0,35,+9
millemi01,38:00,6,13,.462,1,4,.250,2,2,1.000,1,5,6,2,0,1,2,2,15,+9
garripa01,36:00,7,9,.778,2,4,.500,0,0,,0,4,4,1,1,0,2,2,16,+7
vaughja01,27:00,3,4,.750,0,0,,3,4,.750,1,1,2,6,1,0,1,2,9,+13
kempsh01,18:00,3,7,.429,0,0,,1,1,1.000,1,1,2,0,1,0,2,4,7,-11
declean01,25:00,4,8,.500,0,0,,0,0,,5,4,9,2,0,1,1,4,8,+13
armstda01,21:00,6,8,.750,1,1,1.000,0,0,,2,0,2,3,1,0,2,1,13,-12
burkepa01,12:00,2,5,.400,0,0,,0,0,,0,0,0,0,0,2,0,1,4,-8
sasseje01,12:00,0,3,.000,0,0,,0,0,,1,2,3,1,0,0,0,2,0,-6
humphry01,7:00,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1,-14
huntest01,5:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-5
Team Totals,240,46,94,.489,5,16,.313,11,13,.846,15,23,38,21,6,4,10,20,108,
