Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisan01,44:00,7,13,.538,0,0,,2,2,1.000,7,9,16,3,1,1,3,2,16,+3
willije01,39:00,5,7,.714,0,0,,3,6,.500,4,5,9,1,1,2,1,3,13,-3
cartevi01,34:00,11,24,.458,1,3,.333,2,2,1.000,2,3,5,4,1,1,0,1,25,0
willial02,34:00,5,12,.417,1,2,.500,0,2,.000,0,3,3,2,2,0,2,2,11,0
petermo01,27:00,6,9,.667,1,2,.500,1,3,.333,2,1,3,1,1,0,1,1,14,+1
lenarvo01,35:00,3,12,.250,1,3,.333,6,7,.857,2,1,3,2,0,0,2,5,13,+5
alstora01,14:00,2,5,.400,0,2,.000,0,0,,0,1,1,3,0,0,2,3,4,+3
bradlmi01,13:00,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,2,0,2,+6
Team Totals,240,40,83,.482,4,12,.333,14,22,.636,18,24,42,17,6,4,13,17,98,
Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
cassesa01,39:00,8,14,.571,1,1,1.000,3,4,.750,2,3,5,7,0,0,2,3,20,0
masonan01,36:00,5,13,.385,0,0,,3,4,.750,1,3,4,7,1,0,2,0,13,-2
allenra02,35:00,9,17,.529,3,7,.429,0,0,,1,5,6,3,1,0,2,3,21,0
johnser02,25:00,0,2,.000,0,0,,0,0,,6,5,11,0,1,0,2,4,0,+3
thomati01,21:00,1,6,.167,0,1,.000,0,0,,0,3,3,0,1,0,3,2,2,+4
reddmi01,30:00,10,14,.714,2,5,.400,2,2,1.000,1,3,4,0,0,0,1,2,24,-8
kukocto01,20:00,2,5,.400,1,3,.333,2,2,1.000,0,1,1,2,1,0,2,1,7,-10
ollieke01,18:00,0,4,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-3
caffeja01,16:00,4,6,.667,0,0,,0,0,,2,1,3,1,1,0,1,3,8,+1
Team Totals,240,39,81,.481,7,17,.412,10,12,.833,13,24,37,20,6,0,15,20,95,
