Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
iversal01,44:00,17,25,.680,0,1,.000,4,5,.800,1,2,3,9,8,0,5,0,38,+26
thomake01,38:00,6,10,.600,0,0,,6,6,1.000,3,8,11,1,0,2,0,3,18,+18
vanhoke01,31:00,3,9,.333,0,1,.000,0,0,,1,5,6,2,1,1,4,1,6,+17
snower01,28:00,4,8,.500,0,0,,0,0,,0,1,1,7,1,0,2,3,8,+7
hillty01,27:00,6,12,.500,0,0,,0,0,,2,5,7,1,2,0,2,2,12,+13
buckngr01,20:00,4,6,.667,0,0,,2,2,1.000,1,2,3,0,0,0,0,3,10,-5
mckieaa01,20:00,3,6,.500,0,1,.000,0,0,,0,4,4,6,0,0,1,0,6,+28
willimo01,19:00,4,7,.571,0,0,,2,2,1.000,2,3,5,1,0,0,3,3,10,+6
salmojo01,8:00,1,3,.333,0,0,,0,0,,1,2,3,0,1,0,0,0,2,0
rentzef01,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
Team Totals,240,48,87,.552,0,3,.000,14,15,.933,11,32,43,27,13,3,17,16,110,
Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
abdursh01,35:00,6,9,.667,0,0,,3,3,1.000,1,3,4,2,0,0,0,4,15,-21
robingl01,34:00,5,18,.278,0,3,.000,6,6,1.000,2,5,7,4,1,0,7,2,16,-15
ratlith01,33:00,4,10,.400,0,0,,2,2,1.000,4,5,9,2,2,6,1,0,10,-19
terryja01,32:00,4,12,.333,1,4,.250,1,1,1.000,1,2,3,5,2,0,3,2,10,-10
glovedi01,29:00,3,10,.300,0,2,.000,3,3,1.000,1,2,3,0,1,0,2,2,9,-9
newblir01,21:00,4,8,.500,1,2,.500,0,0,,0,4,4,2,1,1,1,2,9,-13
hendeal01,15:00,2,5,.400,0,0,,0,0,,1,3,4,0,1,0,1,0,4,-15
hamda01,13:00,2,3,.667,0,0,,1,1,1.000,0,1,1,2,0,0,1,2,5,-2
jacksje01,12:00,3,4,.750,0,0,,1,4,.250,0,1,1,1,2,1,0,1,7,-4
dickada01,10:00,1,4,.250,0,2,.000,0,0,,0,1,1,2,0,0,1,0,2,-3
mooremi01,6:00,1,1,1.000,0,0,,0,0,,1,0,1,2,0,1,0,0,2,+6
Team Totals,240,35,84,.417,2,13,.154,17,20,.850,11,27,38,22,10,9,17,15,89,
