Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
webbech01,41:00,9,25,.360,0,0,,4,5,.800,3,5,8,3,2,3,5,5,22,-20
stojape01,38:00,9,11,.818,2,3,.667,1,1,1.000,1,5,6,2,0,0,3,3,21,-10
bibbymi01,36:00,3,11,.273,1,3,.333,0,0,,1,4,5,3,1,0,3,2,7,-14
chrisdo01,32:00,3,9,.333,1,4,.250,1,2,.500,0,3,3,4,3,0,1,3,8,-9
divacvl01,28:00,5,9,.556,0,1,.000,1,2,.500,4,3,7,4,0,0,1,2,11,+12
clarkke01,25:00,2,7,.286,0,1,.000,1,2,.500,1,5,6,0,0,1,0,3,5,-10
jacksji01,17:00,3,6,.500,2,3,.667,0,0,,2,3,5,2,0,0,2,1,8,-6
jacksbo01,16:00,2,3,.667,0,0,,0,0,,0,0,0,2,0,0,0,2,4,-2
turkohe01,7:00,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,+4
Team Totals,240,37,84,.440,6,16,.375,8,12,.667,12,29,41,20,6,4,15,21,88,
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wallabe01,44:00,6,12,.500,0,1,.000,0,0,,5,11,16,2,3,5,1,3,12,+5
robincl02,35:00,9,14,.643,1,3,.333,2,2,1.000,1,2,3,2,3,1,1,2,21,+13
billuch01,33:00,6,12,.500,3,4,.750,3,3,1.000,1,3,4,6,1,1,3,3,18,+19
hamilri01,32:00,4,13,.308,0,2,.000,4,4,1.000,1,6,7,3,1,0,3,1,12,+6
currymi01,19:00,2,4,.500,0,0,,0,0,,2,2,4,3,0,0,1,2,4,-7
willico02,25:00,5,10,.500,0,0,,9,10,.900,0,3,3,2,0,0,1,3,19,+10
barryjo01,20:00,4,7,.571,0,3,.000,0,0,,0,2,2,4,1,0,1,1,8,+13
okurme01,17:00,2,8,.250,0,1,.000,1,2,.500,1,1,2,1,0,0,0,1,5,+4
davishu01,15:00,0,3,.000,0,0,,0,0,,0,1,1,2,0,0,0,1,0,-8
Team Totals,240,38,83,.458,4,14,.286,19,21,.905,11,31,42,25,9,7,11,17,99,
