New Orleans Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisba01,33:00,11,17,.647,3,7,.429,0,0,,1,4,5,4,1,0,3,1,25,-23
wesleda01,30:00,7,12,.583,2,3,.667,2,3,.667,0,1,1,3,1,0,3,1,18,-33
lynchge01,29:00,3,8,.375,0,3,.000,0,0,,2,3,5,2,1,0,4,0,6,-20
brownpj01,28:00,3,10,.300,0,0,,3,3,1.000,2,1,3,0,1,1,0,2,9,-26
magloja01,23:00,2,7,.286,0,0,,2,2,1.000,2,2,4,1,1,0,2,3,6,-5
armstda01,27:00,5,10,.500,1,5,.200,1,2,.500,0,2,2,6,0,1,1,2,12,+1
westda01,20:00,3,4,.750,0,0,,2,4,.500,1,3,4,0,1,0,2,2,8,-14
smithst01,19:00,1,4,.250,0,1,.000,2,2,1.000,1,0,1,0,0,0,1,2,4,-8
traylro01,17:00,2,5,.400,0,0,,2,4,.500,2,3,5,3,1,1,1,1,6,+4
rooksse01,9:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-15
drewbr01,5:00,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,1,0,3,-1
Team Totals,240,38,79,.481,7,20,.350,14,20,.700,11,19,30,19,8,4,18,15,97,
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
finlemi01,36:00,8,20,.400,2,6,.333,2,2,1.000,4,1,5,6,1,0,1,4,20,+34
walkean02,35:00,9,16,.563,0,3,.000,3,3,1.000,4,5,9,6,1,1,2,2,21,+22
nashst01,32:00,6,7,.857,5,5,1.000,0,1,.000,1,0,1,11,2,0,2,3,17,+31
nowitdi01,30:00,8,12,.667,1,3,.333,1,1,1.000,0,5,5,4,1,1,2,2,18,+27
fortsda01,23:00,4,5,.800,0,0,,1,1,1.000,3,8,11,0,0,0,1,3,9,+27
jamisan01,28:00,6,9,.667,0,0,,0,0,,2,1,3,2,1,3,1,1,12,+9
besttr01,24:00,6,12,.500,0,1,.000,0,0,,0,1,1,5,2,0,2,2,12,-3
najered01,13:00,0,3,.000,0,0,,1,2,.500,2,2,4,2,1,1,2,1,1,-7
daniema01,8:00,3,5,.600,0,0,,0,0,,0,0,0,3,0,0,0,0,6,-2
howarjo01,7:00,3,3,1.000,1,1,1.000,0,0,,1,2,3,1,0,0,0,3,7,-1
bradlsh01,4:00,1,1,1.000,0,0,,0,0,,0,3,3,0,0,1,2,1,2,+3
Team Totals,240,54,93,.581,9,19,.474,8,10,.800,17,28,45,40,9,7,15,22,125,
