Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
onealje01,41:00,9,27,.333,0,0,,2,2,1.000,3,10,13,1,0,2,8,5,20,0
millere01,33:00,2,6,.333,2,3,.667,0,1,.000,1,3,4,3,0,1,0,3,6,-5
anderke01,20:00,3,7,.429,0,0,,4,4,1.000,1,0,1,2,1,0,1,2,10,-8
artesro01,17:00,3,5,.600,1,1,1.000,2,2,1.000,0,0,0,1,1,1,1,2,9,-1
pollasc01,11:00,1,2,.500,0,0,,0,0,,1,0,1,0,2,1,1,1,2,-4
harrial01,38:00,5,14,.357,0,3,.000,7,10,.700,2,7,9,1,0,1,2,2,17,-1
breweja01,28:00,4,8,.500,0,3,.000,0,0,,1,1,2,3,2,0,0,0,8,+5
croshau01,21:00,4,9,.444,2,6,.333,1,2,.500,3,3,6,1,1,0,2,4,11,+5
jonesfr01,16:00,0,2,.000,0,0,,0,0,,0,2,2,1,1,0,0,0,0,-1
fosteje01,15:00,1,2,.500,0,0,,3,4,.750,4,0,4,0,2,0,0,0,5,-5
Team Totals,240,32,82,.390,5,16,.313,19,25,.760,16,26,42,13,10,6,15,19,88,
Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millebr01,46:00,9,17,.529,0,1,.000,0,0,,4,11,15,10,2,2,6,1,18,+6
stojape01,44:00,10,20,.500,3,6,.500,4,4,1.000,0,5,5,1,0,0,2,4,27,+3
bibbymi01,33:00,5,12,.417,0,2,.000,4,5,.800,1,4,5,4,0,0,2,0,14,+5
chrisdo01,28:00,1,4,.250,0,0,,2,2,1.000,2,4,6,3,1,1,2,2,4,+10
divacvl01,26:00,5,9,.556,0,0,,2,2,1.000,2,8,10,6,1,1,3,5,12,+13
jacksbo01,27:00,4,11,.364,0,2,.000,0,0,,0,1,1,1,0,0,1,2,8,-1
masseto01,20:00,2,3,.667,0,0,,0,0,,2,1,3,0,1,1,1,3,4,-16
peelean01,14:00,2,3,.667,0,0,,0,0,,0,1,1,3,0,0,3,2,4,-2
songada01,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-3
Team Totals,240,38,79,.481,3,11,.273,12,13,.923,11,36,47,28,5,5,21,21,91,
