Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
lewisra02,39:00,12,18,.667,4,6,.667,5,5,1.000,1,5,6,1,3,2,4,2,33,+2
barrybr01,37:00,4,7,.571,2,3,.667,0,0,,0,3,3,10,3,0,2,4,10,+18
allenra02,30:00,9,19,.474,1,4,.250,3,4,.750,3,3,6,4,2,0,5,3,22,+2
radmavl01,20:00,2,8,.250,0,2,.000,0,0,,1,6,7,1,1,0,0,4,4,+4
jamesje01,16:00,1,4,.250,0,0,,0,0,,3,3,6,3,0,0,1,2,2,+5
evansre01,24:00,0,0,,0,0,,3,5,.600,2,6,8,1,1,0,0,4,3,+6
murraro01,21:00,4,12,.333,1,2,.500,0,0,,0,0,0,1,0,1,1,0,9,-4
boothca01,18:00,0,2,.000,0,0,,2,2,1.000,2,0,2,1,0,2,1,4,2,+5
frahmri01,14:00,3,6,.500,1,4,.250,3,3,1.000,0,0,0,1,0,1,0,2,10,-1
potapvi01,9:00,1,2,.500,0,0,,0,0,,0,4,4,2,0,0,1,1,2,-3
daniean01,7:00,2,2,1.000,1,1,1.000,0,0,,1,0,1,2,1,0,0,0,5,+3
ridnolu01,5:00,1,3,.333,1,1,1.000,0,0,,1,0,1,0,0,0,2,1,3,-7
Team Totals,240,39,83,.470,11,23,.478,16,19,.842,14,30,44,27,11,6,17,27,105,
Memphis Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
gasolpa01,35:00,9,14,.643,0,0,,14,17,.824,5,6,11,2,0,2,5,2,32,-3
millemi01,33:00,3,9,.333,1,5,.200,0,0,,0,2,2,3,0,1,3,2,7,-3
willija02,32:00,5,10,.500,2,6,.333,0,0,,0,2,2,7,2,0,1,0,12,-1
wrighlo02,25:00,3,11,.273,0,0,,3,3,1.000,3,7,10,1,1,2,2,1,9,+3
poseyja01,12:00,1,5,.200,0,1,.000,0,0,,1,1,2,0,1,0,1,4,2,-5
battish01,36:00,3,10,.300,1,7,.143,2,4,.500,1,2,3,3,2,0,1,3,9,-1
swiftst01,23:00,4,9,.444,0,0,,1,2,.500,4,2,6,0,1,5,1,4,9,-9
watsoea01,16:00,3,6,.500,0,0,,0,0,,0,2,2,6,1,0,1,2,6,-5
jonesda02,15:00,3,9,.333,0,0,,0,0,,0,1,1,1,1,0,0,4,6,-3
outlabo01,13:00,3,3,1.000,0,0,,1,1,1.000,2,1,3,0,0,1,1,2,7,-3
Team Totals,240,37,86,.430,4,19,.211,21,27,.778,16,26,42,23,9,11,16,24,99,
