Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
anthoca01,35:00,4,17,.235,0,3,.000,6,6,1.000,1,3,4,1,0,0,1,3,14,-11
lenarvo01,32:00,5,11,.455,2,3,.667,3,3,1.000,1,3,4,1,1,0,2,4,15,-19
millean02,30:00,7,12,.583,1,1,1.000,0,0,,3,0,3,2,1,0,1,2,15,-10
cambyma01,26:00,2,4,.500,0,0,,0,0,,0,4,4,2,0,1,3,1,4,-15
hilarne01,25:00,4,8,.500,0,0,,1,3,.333,2,4,6,2,0,0,1,5,9,-14
boykiea01,30:00,3,11,.273,0,2,.000,0,0,,1,0,1,5,1,0,2,1,6,-12
anderch01,13:00,0,0,,0,0,,1,2,.500,0,1,1,0,2,1,0,1,1,-15
trepaje01,12:00,2,6,.333,1,1,1.000,0,0,,0,1,1,0,0,0,1,2,5,-12
whitero02,10:00,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,1,2,2,2,-6
tskitni01,10:00,0,2,.000,0,0,,0,0,,1,0,1,0,1,0,0,0,0,-5
elsonfr01,9:00,0,2,.000,0,0,,0,0,,0,2,2,1,1,0,1,1,0,-3
bowenry01,8:00,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,3,0,-8
Team Totals,240,28,78,.359,4,11,.364,11,14,.786,10,18,28,15,7,3,14,25,71,
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
medvest01,39:00,9,12,.750,0,0,,4,6,.667,2,7,9,2,1,2,2,3,22,+22
paytoga01,32:00,9,13,.692,0,0,,3,4,.750,0,3,3,6,0,0,1,1,21,+14
rushka01,32:00,3,8,.375,1,2,.500,1,2,.500,0,0,0,1,0,0,0,0,8,+18
georgde01,29:00,4,9,.444,0,0,,4,4,1.000,0,3,3,3,1,1,0,2,12,+13
grantho01,29:00,2,7,.286,0,0,,4,4,1.000,4,7,11,4,0,1,1,2,8,+14
fishede01,25:00,2,8,.250,0,1,.000,5,6,.833,1,0,1,2,2,0,1,2,9,+20
russebr01,19:00,1,4,.250,0,0,,2,2,1.000,1,2,3,1,0,0,1,4,4,+13
cookbr01,19:00,2,4,.500,0,0,,0,0,,1,5,6,3,1,0,3,2,4,+16
waltolu01,7:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,2,0,0,0
udokaim01,6:00,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,2,0,4,0
sampsja01,3:00,1,1,1.000,0,0,,3,4,.750,1,0,1,0,0,0,0,0,5,0
Team Totals,240,35,69,.507,1,3,.333,26,32,.813,10,30,40,23,5,4,13,16,97,
