Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
richaqu01,42:00,7,22,.318,3,9,.333,5,7,.714,1,4,5,0,2,0,2,3,22,+1
maggeco01,41:00,10,20,.500,2,7,.286,6,10,.600,3,7,10,3,1,0,0,2,28,-7
brandel01,41:00,8,13,.615,0,0,,10,10,1.000,6,10,16,4,0,1,3,1,26,-4
jaricma01,35:00,2,6,.333,0,2,.000,1,2,.500,4,0,4,7,1,0,3,4,5,+1
kamanch01,17:00,1,4,.250,0,0,,1,2,.500,1,1,2,1,0,1,0,0,3,-3
barnema02,27:00,1,3,.333,0,1,.000,0,0,,1,3,4,1,0,0,1,5,2,-2
wilcoch01,20:00,4,7,.571,0,0,,0,0,,3,2,5,1,0,0,0,0,8,-4
houseed01,13:00,1,4,.250,0,1,.000,0,0,,0,1,1,0,1,0,2,1,2,-6
drobnpr01,4:00,0,2,.000,0,0,,1,2,.500,0,1,1,0,0,0,1,0,1,-1
Team Totals,240,34,81,.420,5,20,.250,24,33,.727,19,29,48,17,5,2,12,16,97,
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
allenra02,40:00,14,23,.609,6,10,.600,7,8,.875,0,2,2,5,3,0,0,2,41,+10
lewisra02,40:00,6,14,.429,3,7,.429,0,0,,2,3,5,1,0,0,1,2,15,+3
barrybr01,37:00,4,7,.571,2,4,.500,0,0,,0,2,2,7,1,0,3,2,10,+3
boothca01,18:00,2,5,.400,0,0,,0,0,,0,5,5,0,0,3,0,2,4,+6
jamesje01,15:00,2,3,.667,0,0,,0,0,,0,2,2,1,0,0,1,4,4,-6
daniean01,25:00,5,6,.833,0,1,.000,4,7,.571,1,5,6,4,1,0,0,0,14,+4
potapvi01,22:00,2,5,.400,0,0,,0,1,.000,2,5,7,0,2,0,1,4,4,+22
murraro01,18:00,3,9,.333,0,2,.000,0,0,,0,0,0,0,0,0,1,3,6,-3
radmavl01,16:00,2,7,.286,0,1,.000,0,0,,2,1,3,1,1,0,4,4,4,-2
evansre01,8:00,0,0,,0,0,,0,2,.000,1,1,2,1,0,0,0,2,0,-8
sesayan01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Team Totals,240,40,79,.506,11,25,.440,11,18,.611,8,26,34,20,8,3,11,25,102,
