Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
onealje01,38:00,7,15,.467,0,0,,5,8,.625,4,6,10,2,0,3,6,4,19,+10
harrial01,36:00,2,6,.333,0,0,,2,2,1.000,2,4,6,1,2,0,5,4,6,+11
fosteje01,34:00,1,4,.250,0,0,,1,2,.500,5,8,13,0,2,0,0,3,3,+7
tinslja01,31:00,7,10,.700,4,5,.800,1,2,.500,0,1,1,10,0,0,2,3,19,+15
millere01,30:00,7,16,.438,2,8,.250,8,8,1.000,0,2,2,3,1,0,0,2,24,+18
jonesfr01,18:00,0,2,.000,0,0,,3,4,.750,1,2,3,2,2,1,2,2,3,-7
johnsan02,17:00,3,5,.600,0,0,,0,0,,0,2,2,2,2,0,3,1,6,-6
bendejo01,14:00,4,6,.667,1,1,1.000,2,2,1.000,1,0,1,1,0,2,1,3,11,-2
pollasc01,12:00,0,0,,0,0,,1,2,.500,1,2,3,0,0,0,0,2,1,0
croshau01,10:00,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,0,0,2,2,4,-1
Team Totals,240,32,67,.478,7,15,.467,25,32,.781,14,28,42,21,9,6,21,26,96,
Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
brownkw01,45:00,6,11,.545,0,0,,5,6,.833,2,6,8,2,3,3,3,3,17,-5
dixonju01,45:00,2,8,.250,0,0,,4,4,1.000,0,4,4,5,8,0,2,5,8,-8
arenagi01,40:00,9,21,.429,4,8,.500,5,9,.556,3,0,3,5,0,0,4,5,27,-4
stackje01,33:00,5,12,.417,0,2,.000,5,5,1.000,0,8,8,5,1,1,3,2,15,-10
haywobr01,31:00,4,5,.800,0,0,,1,1,1.000,3,3,6,1,1,4,0,4,9,+9
hayesja01,18:00,3,7,.429,0,1,.000,1,1,1.000,0,2,2,2,0,0,0,3,7,-2
thomaet01,14:00,2,8,.250,0,0,,0,0,,1,0,1,0,0,2,0,2,4,-14
blakest01,9:00,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0,-5
jeffrja01,5:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-6
Team Totals,240,31,75,.413,4,12,.333,21,26,.808,10,23,33,21,13,10,13,25,87,
