Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
welscji01,37:00,5,7,.714,1,2,.500,4,4,1.000,0,5,5,6,2,0,4,3,15,+3
atkinch01,36:00,6,10,.600,1,2,.500,0,0,,0,3,3,3,1,0,3,1,13,+6
blounma01,33:00,5,10,.500,0,0,,4,5,.800,1,9,10,2,2,1,0,1,14,+13
huntebr01,33:00,5,7,.714,0,0,,0,0,,1,3,4,0,2,0,2,4,10,-2
piercpa01,29:00,7,17,.412,0,2,.000,8,9,.889,0,4,4,2,0,0,4,4,22,+18
davisri01,20:00,1,7,.143,0,1,.000,0,0,,0,1,1,2,0,0,2,0,2,-5
mihmch01,15:00,3,4,.750,0,0,,1,1,1.000,1,6,7,0,0,0,1,1,7,-4
mccarwa01,15:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,+11
banksma01,13:00,4,4,1.000,0,0,,0,0,,0,0,0,1,0,0,3,3,8,+3
jonesju01,9:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,+2
Team Totals,240,36,69,.522,2,8,.250,17,19,.895,3,32,35,16,8,1,19,20,91,
Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
palacmi01,42:00,7,12,.583,0,0,,5,6,.833,0,4,4,8,4,1,1,2,19,+1
marshdo01,40:00,7,16,.438,1,1,1.000,3,3,1.000,5,5,10,0,1,3,3,1,18,-13
glovedi01,36:00,5,16,.313,1,3,.333,2,4,.500,2,7,9,4,2,0,5,5,13,-9
boshch01,33:00,5,12,.417,0,0,,5,7,.714,3,1,4,2,0,0,0,2,15,+2
petermo01,31:00,3,9,.333,1,5,.200,0,0,,1,2,3,1,3,1,1,3,7,-2
moisoje01,18:00,3,5,.600,0,0,,0,1,.000,1,1,2,0,0,0,2,4,6,-8
currymi01,16:00,0,1,.000,0,0,,0,0,,0,3,3,0,1,0,2,2,0,-8
masonro01,10:00,1,5,.200,0,2,.000,0,0,,0,0,0,3,0,0,0,1,2,0
murrala01,5:00,0,3,.000,0,0,,1,2,.500,0,2,2,0,0,0,1,1,1,-4
archiro01,5:00,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,+3
pargoja01,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Team Totals,240,31,81,.383,3,11,.273,17,25,.680,12,26,38,18,11,5,15,21,82,
