Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,42:00,8,20,.400,0,3,.000,15,22,.682,2,6,8,6,3,0,4,0,31,-12
mcinnje01,41:00,7,15,.467,0,2,.000,2,3,.667,1,2,3,6,0,0,3,3,16,-8
ilgauzy01,32:00,3,7,.429,0,0,,3,7,.429,2,2,4,1,1,1,2,4,9,-9
harrilu01,31:00,2,4,.500,0,1,.000,1,1,1.000,1,6,7,0,1,0,0,4,5,+3
goodedr01,17:00,5,9,.556,0,0,,2,2,1.000,0,2,2,1,1,0,0,2,12,-10
snower01,26:00,3,8,.375,0,1,.000,1,1,1.000,3,1,4,3,4,0,1,1,7,-10
newblir01,13:00,1,3,.333,0,0,,0,0,,1,0,1,1,0,0,0,0,2,-8
willisc01,11:00,1,2,.500,0,0,,1,2,.500,1,2,3,2,0,2,0,2,3,-9
traylro01,9:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,1,3,6,0,0
varejan01,8:00,0,1,.000,0,0,,0,0,,1,2,3,0,1,1,2,4,0,+1
pavloal01,7:00,0,3,.000,0,0,,3,6,.500,0,1,1,0,0,0,0,3,3,-8
jackslu02,3:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,30,77,.390,0,7,.000,28,44,.636,12,25,37,20,11,5,15,29,88,
Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
reddmi01,45:00,10,18,.556,0,1,.000,8,9,.889,1,7,8,3,1,0,2,4,28,+18
vanhoke01,40:00,9,20,.450,2,5,.400,2,2,1.000,6,8,14,2,0,2,1,4,22,+10
willima01,37:00,5,14,.357,0,0,,0,2,.000,3,4,7,11,2,0,4,4,10,+9
smithjo02,28:00,3,8,.375,0,0,,4,4,1.000,2,2,4,1,0,1,2,3,10,+11
gadzuda01,20:00,3,3,1.000,0,0,,1,1,1.000,2,5,7,0,0,2,2,4,7,+14
pachuza01,21:00,1,5,.200,0,0,,4,5,.800,3,3,6,0,0,1,4,2,6,-1
stricer01,20:00,2,7,.286,0,1,.000,2,2,1.000,0,3,3,1,0,0,2,5,6,+9
masonde01,19:00,3,6,.500,0,0,,5,5,1.000,0,1,1,2,1,0,3,5,11,0
kukocto01,8:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+4
goldwan01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Team Totals,240,37,83,.446,2,7,.286,26,30,.867,17,34,51,20,4,6,20,31,102,
