Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
anthoca01,44:00,7,23,.304,0,2,.000,12,16,.750,1,7,8,3,0,0,7,2,26,-6
martike01,43:00,7,14,.500,0,0,,4,5,.800,1,6,7,3,0,2,2,2,18,-6
cambyma01,38:00,6,10,.600,0,0,,9,12,.750,6,8,14,2,0,4,3,0,21,-7
millean02,37:00,1,7,.143,0,1,.000,0,0,,0,4,4,6,1,0,7,3,2,-10
buckngr01,23:00,2,3,.667,0,1,.000,0,0,,0,2,2,0,1,0,1,2,4,-8
boykiea01,25:00,3,6,.500,0,2,.000,6,6,1.000,0,4,4,1,1,0,2,3,12,-3
russebr01,14:00,2,3,.667,1,1,1.000,0,1,.000,2,0,2,0,0,0,0,2,5,-7
whitero02,11:00,3,3,1.000,0,0,,0,0,,1,0,1,1,1,0,0,3,6,-1
hilarne01,3:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-2
elsonfr01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Team Totals,240,32,71,.451,1,7,.143,31,40,.775,11,32,43,16,4,6,22,17,96,
New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
thomaku01,43:00,5,9,.556,0,0,,0,0,,5,13,18,1,1,1,0,5,10,+12
crawfja01,38:00,11,19,.579,4,5,.800,5,6,.833,0,1,1,2,2,0,3,3,31,+4
marbust01,38:00,10,18,.556,0,2,.000,5,7,.714,0,1,1,11,2,0,1,1,25,+12
mohamna01,31:00,4,11,.364,0,0,,0,0,,2,3,5,0,2,0,1,5,8,+8
thomati01,22:00,4,7,.571,0,1,.000,1,2,.500,0,0,0,0,1,2,2,4,9,+8
willije01,18:00,2,3,.667,0,0,,0,2,.000,3,2,5,0,0,1,0,3,4,+6
houstal01,17:00,3,11,.273,0,0,,3,3,1.000,1,1,2,3,0,0,0,1,9,+5
sweetmi01,12:00,2,4,.500,0,0,,1,1,1.000,0,2,2,0,2,0,1,1,5,-2
arizatr01,11:00,3,5,.600,0,0,,0,0,,1,0,1,0,0,0,1,4,6,+3
norrimo01,10:00,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1
Team Totals,240,44,90,.489,4,8,.500,15,21,.714,12,24,36,17,10,4,9,29,107,
