Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millean02,39:00,8,11,.727,0,0,,4,4,1.000,1,0,1,7,1,1,4,3,20,-7
martike01,29:00,8,12,.667,0,0,,2,2,1.000,4,3,7,0,1,0,3,3,18,-13
johnsde03,29:00,3,8,.375,0,3,.000,2,2,1.000,0,3,3,3,0,1,1,2,8,-13
cambyma01,23:00,1,4,.250,0,0,,1,2,.500,2,2,4,1,0,1,2,2,3,-8
buckngr01,7:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-4
whitero02,31:00,8,20,.400,1,3,.333,0,0,,2,4,6,0,0,0,0,1,17,+3
hilarne01,26:00,2,3,.667,0,0,,3,9,.333,1,2,3,1,1,1,5,4,7,-8
russebr01,21:00,2,5,.400,2,2,1.000,0,0,,0,3,3,1,0,0,0,2,6,-13
boykiea01,19:00,1,9,.111,0,3,.000,0,0,,0,2,2,5,1,0,2,1,2,-9
elsonfr01,14:00,0,1,.000,0,0,,2,2,1.000,0,5,5,0,1,0,0,2,2,-5
tskitni01,2:00,0,0,,0,0,,0,0,,0,0,0,0,2,0,0,0,0,+2
Team Totals,240,33,73,.452,3,11,.273,14,21,.667,10,25,35,19,7,4,18,21,83,
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
lewisra02,42:00,7,15,.467,2,6,.333,5,5,1.000,1,3,4,1,1,0,3,1,21,+16
allenra02,41:00,7,20,.350,2,7,.286,4,4,1.000,2,3,5,2,2,0,4,1,20,+17
evansre01,24:00,3,4,.750,0,0,,0,3,.000,6,6,12,3,3,0,1,2,6,+7
ridnolu01,23:00,2,11,.182,0,0,,0,0,,1,1,2,5,0,0,0,3,4,+3
jamesje01,17:00,2,3,.667,0,0,,0,0,,0,0,0,0,2,0,1,4,4,+8
radmavl01,34:00,7,14,.500,3,6,.500,2,2,1.000,1,8,9,0,0,0,0,2,19,+9
murraro01,27:00,6,13,.462,0,2,.000,3,4,.750,1,4,5,4,2,0,0,2,15,+8
collini01,20:00,2,4,.500,0,0,,2,2,1.000,4,4,8,0,1,1,1,3,6,+12
fortsda01,10:00,1,1,1.000,0,0,,1,2,.500,1,2,3,0,0,0,3,6,3,-3
kutluib01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2
Team Totals,240,37,85,.435,7,21,.333,17,22,.773,17,31,48,15,11,1,14,24,98,
