Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
howarjo01,46:00,9,13,.692,1,2,.500,5,6,.833,2,4,6,2,3,1,3,2,24,+4
nowitdi01,37:00,7,14,.500,0,2,.000,8,8,1.000,1,9,10,3,2,1,0,2,22,+1
finlemi01,36:00,4,13,.308,2,6,.333,2,2,1.000,1,3,4,4,1,0,1,0,12,+3
terryja01,30:00,2,10,.200,1,3,.333,0,0,,2,1,3,7,0,0,2,3,5,+2
bradlsh01,22:00,3,9,.333,0,0,,0,2,.000,4,2,6,1,1,2,0,3,6,+6
vanhoke01,26:00,6,8,.750,2,4,.500,3,5,.600,2,3,5,1,0,0,2,3,17,+13
harride01,18:00,2,4,.500,1,1,1.000,2,2,1.000,0,2,2,5,0,0,1,1,7,+5
daniema01,15:00,0,2,.000,0,0,,0,0,,0,0,0,0,2,0,0,1,0,+7
hendeal01,10:00,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,1,0,2,-6
Team Totals,240,34,74,.459,7,18,.389,20,25,.800,13,26,39,23,9,4,10,15,95,
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hamilri01,41:00,10,20,.500,0,1,.000,3,4,.750,3,2,5,5,0,0,1,2,23,+1
princta01,41:00,7,15,.467,0,0,,0,0,,5,2,7,3,0,0,1,3,14,-9
wallara01,40:00,6,15,.400,0,3,.000,1,1,1.000,1,6,7,2,1,0,1,5,13,+1
billuch01,38:00,8,15,.533,3,6,.500,7,7,1.000,1,2,3,4,1,0,2,1,26,0
wallabe01,38:00,4,10,.400,0,0,,2,2,1.000,7,10,17,3,1,3,3,4,10,0
mcdyean01,12:00,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,1,3,0,-9
arroyca01,12:00,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,2,0,-11
delfica01,7:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,2,0,1,1,0,+2
hamda01,6:00,1,1,1.000,0,0,,0,3,.000,1,0,1,0,0,0,1,2,2,-6
hunteli01,5:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-4
Team Totals,240,36,82,.439,3,12,.250,13,17,.765,19,24,43,19,5,3,12,24,88,
