New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
kiddja01,42:00,10,19,.526,2,4,.500,7,10,.700,1,14,15,6,2,0,4,0,29,-4
scalabr01,39:00,2,3,.667,0,0,,1,2,.500,1,7,8,1,0,1,2,2,5,+9
cartevi01,37:00,9,20,.450,2,5,.400,2,4,.500,1,4,5,0,1,1,3,4,22,-10
collija04,37:00,1,5,.200,0,0,,3,4,.750,0,3,3,3,0,1,2,6,5,-1
krstine01,26:00,1,4,.250,0,0,,5,6,.833,1,3,4,0,0,1,1,4,7,-3
besttr01,28:00,2,6,.333,0,1,.000,7,8,.875,1,2,3,3,1,0,1,3,11,-2
robincl02,28:00,3,8,.375,1,4,.250,0,2,.000,1,2,3,1,1,0,1,4,7,-9
planizo01,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Team Totals,240,28,65,.431,5,14,.357,25,36,.694,6,36,42,14,5,4,14,23,86,
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jacksst02,36:00,5,19,.263,2,8,.250,5,6,.833,1,3,4,1,3,1,1,2,17,+14
johnsan02,36:00,2,10,.200,1,3,.333,2,4,.500,0,6,6,9,1,0,3,2,7,+7
millere01,33:00,7,16,.438,3,7,.429,5,5,1.000,2,5,7,2,3,0,0,1,22,+4
davisda01,30:00,0,5,.000,0,0,,1,2,.500,7,4,11,0,0,1,1,2,1,+4
pollasc01,5:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-2
croshau01,28:00,6,15,.400,1,5,.200,0,0,,2,5,7,0,1,0,0,6,13,-2
jonesja02,25:00,5,7,.714,2,2,1.000,2,2,1.000,0,3,3,0,0,1,1,2,14,+2
jonesfr01,18:00,0,1,.000,0,0,,3,4,.750,0,1,1,5,0,0,4,2,3,-4
fosteje01,18:00,0,2,.000,0,0,,0,0,,2,3,5,0,0,0,0,2,0,0
gilled01,11:00,3,3,1.000,3,3,1.000,2,2,1.000,0,1,1,1,1,0,1,4,11,-3
Team Totals,240,29,79,.367,12,28,.429,20,25,.800,14,32,46,18,9,3,12,25,90,
